comparison_id,architecture,family,seed,eval_split,train_epsilon,rob_lam,robust_config_id,eval_epsilon,subset,score,rho_pessimistic_standard,rho_pessimistic_robust,delta_rho_pessimistic,inverse_alignment_gain_pessimistic,rho_optimistic_standard,rho_optimistic_robust,delta_rho_optimistic,inverse_alignment_gain_optimistic
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,expected_entropy,-0.7035007042993536,-0.3401971933847318,0.3633035109146218,-0.3633035109146218,-0.3394791575920026,-0.25460936819400193,0.08486978939800066,-0.08486978939800066
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,expected_entropy,-0.6565983854615804,-0.23690664541215647,0.419691740049424,-0.419691740049424,,,,
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,mutual_information,-0.7001642777462396,-0.3573470518989827,0.3428172258472569,-0.3428172258472569,-0.3394791575920026,-0.26168185064383537,0.07779730694816722,-0.07779730694816722
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,mutual_information,-0.6526717886147404,-0.24743582965269678,0.4052359589620436,-0.4052359589620436,,,,
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,one_minus_confidence,-0.7062252851997675,-0.3531436640429381,0.35308162115682934,-0.35308162115682934,-0.33959332580023843,-0.2669711106164332,0.07262221518380524,-0.07262221518380524
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,one_minus_confidence,-0.6597762074187715,-0.24234079236944003,0.41743541504933146,-0.41743541504933146,,,,
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,predictive_entropy,-0.7030760681925936,-0.3401971933847318,0.3628788748078618,-0.3628788748078618,-0.3394791575920026,-0.25460936819400193,0.08486978939800066,-0.08486978939800066
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,predictive_entropy,-0.6560986367719827,-0.23690664541215647,0.4191919913598262,-0.4191919913598262,,,,
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,expected_entropy,,-0.3832834299609366,,,-0.8430085757660263,-0.34139236540736795,0.5016162103586583,-0.5016162103586583
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,expected_entropy,,-0.2978102572702736,,,-0.8259188134619738,-0.23690664541215647,0.5890121680498174,-0.5890121680498174
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,mutual_information,,-0.4196366117897505,,,-0.8116576141651305,-0.35889966619748936,0.45275794796764113,-0.45275794796764113
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,mutual_information,,-0.3343854333532767,,,-0.7908300481686676,-0.24743582965269678,0.5433942185159708,-0.5433942185159708
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,one_minus_confidence,,-0.39554713719052637,,,-0.8415578061687153,-0.35424650161756094,0.4873113045511544,-0.4873113045511544
