architecture,family,seed,eval_split,training,train_epsilon,rob_lam,config_id,config_label,model_id,cert_theta,cert_gamma,cert_alpha,eval_epsilon,subset,score,n_pessimistic,rho_pessimistic,pvalue_pessimistic,n_optimistic,rho_optimistic,pvalue_optimistic
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.01,all,expected_entropy,50,-0.3401971933847318,0.015636161418905368,50,-0.25460936819400193,0.07436536136340795
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.01,clean_correct,expected_entropy,48,-0.23690664541215647,0.10496506863044447,48,,
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.01,all,mutual_information,50,-0.3573470518989827,0.010845198518498899,50,-0.26168185064383537,0.06640181395409944
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.01,clean_correct,mutual_information,48,-0.24743582965269678,0.08996610354814244,48,,
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.01,all,one_minus_confidence,50,-0.3531436640429381,0.011883859493508462,50,-0.2669711106164332,0.06090296555897014
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.01,clean_correct,one_minus_confidence,48,-0.24234079236944003,0.09700100415468971,48,,
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.01,all,predictive_entropy,50,-0.3401971933847318,0.015636161418905368,50,-0.25460936819400193,0.07436536136340795
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.01,clean_correct,predictive_entropy,48,-0.23690664541215647,0.10496506863044447,48,,
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.05,all,expected_entropy,50,-0.3832834299609366,0.0060058623843750325,50,-0.34139236540736795,0.015251973629459823
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.05,clean_correct,expected_entropy,48,-0.2978102572702736,0.039801068653012146,48,-0.23690664541215647,0.10496506863044447
