architecture,family,seed,eval_split,training,train_epsilon,rob_lam,config_id,config_label,model_id,cert_theta,cert_gamma,cert_alpha,eval_epsilon,n_inputs,n_with_bounds,mean_bound_width,mean_cp_ci_width,mean_unknown_frac,frac_lower_at_zero,upper_bound_ceiling,frac_upper_at_ceiling,mean_property_evaluations
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.01,50,50,0.07546153846153843,0.03889046418753606,0.0004615384615384616,0.04,0.925,0.0,94.84
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.05,50,50,0.09414502470007054,0.03907058013584299,0.02064502470007057,0.08,0.925,0.0,95.26
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.07,50,50,0.12758141986474184,0.04163725746091882,0.05414708855560475,0.12,0.925,0.0,111.44
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.08,50,50,0.1635749433024132,0.043267264657621034,0.09371309724469087,0.18,0.925,0.0,108.68
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.1,50,50,0.36544566051550925,0.043639457661900326,0.305348485507862,0.4,0.925,0.0,124.36
mlp512x1,bbb,0,val,standard,,,standard,standard,mlp512x1|bbb|s0|val|standard,0.075,0.075,0.05,0.01,50,50,0.10005852056039474,0.04682538458105407,0.02505852056039477,0.04,0.925,0.0,114.38
mlp512x1,bbb,0,val,standard,,,standard,standard,mlp512x1|bbb|s0|val|standard,0.075,0.075,0.05,0.05,50,50,0.48497326561995713,0.037315636908736065,0.42577319587628865,1.0,0.925,0.0,186.92
mlp512x1,bbb,0,val,standard,,,standard,standard,mlp512x1|bbb|s0|val|standard,0.075,0.075,0.05,0.07,50,50,0.20678641964851888,0.037315636908736065,0.13587628865979381,1.0,0.925,0.0,138.74
mlp512x1,bbb,0,val,standard,,,standard,standard,mlp512x1|bbb|s0|val|standard,0.075,0.075,0.05,0.08,50,50,0.15185756689936997,0.037315636908736065,0.0779381443298969,1.0,0.925,0.0,120.12
mlp512x1,bbb,0,val,standard,,,standard,standard,mlp512x1|bbb|s0|val|standard,0.075,0.075,0.05,0.1,50,50,0.09339911517459917,0.037315636908736065,0.017319587628865978,1.0,0.925,0.0,108.04
mlp512x1,bbb,1,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s1|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.01,50,50,0.07499999999999997,0.03843664243397704,0.0,0.04,0.925,0.0,94.12
mlp512x1,bbb,1,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s1|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.05,50,50,0.07797934422669775,0.04022954499717782,0.0029793442266977904,0.04,0.925,0.0,98.2
mlp512x1,bbb,1,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s1|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.07,50,50,0.1445880815300112,0.04298253373166893,0.06945606296973217,0.12,0.925,0.0,110.32
mlp512x1,bbb,1,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s1|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.08,50,50,0.23794787868002043,0.04547205981780043,0.16664306863597744,0.18,0.925,0.0,126.86
mlp512x1,bbb,1,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s1|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.1,50,50,0.33804443322246386,0.045318954050147214,0.2723685708416277,0.38,0.925,0.0,132.44
mlp512x1,bbb,1,val,standard,,,standard,standard,mlp512x1|bbb|s1|val|standard,0.075,0.075,0.05,0.01,50,50,0.11915968051084136,0.04831087236512958,0.04328007499205209,0.04,0.925,0.0,121.9
mlp512x1,bbb,1,val,standard,,,standard,standard,mlp512x1|bbb|s1|val|standard,0.075,0.075,0.05,0.05,50,50,0.44524384295225744,0.037315636908736065,0.3855670103092783,1.0,0.925,0.0,196.38
mlp512x1,bbb,1,val,standard,,,standard,standard,mlp512x1|bbb|s1|val|standard,0.075,0.075,0.05,0.07,50,50,0.20801587076314532,0.037315636908736065,0.13649484536082473,1.0,0.925,0.0,127.16
mlp512x1,bbb,1,val,standard,,,standard,standard,mlp512x1|bbb|s1|val|standard,0.075,0.075,0.05,0.08,50,50,0.15557849485123912,0.037315636908736065,0.08082474226804123,1.0,0.925,0.0,122.14
mlp512x1,bbb,1,val,standard,,,standard,standard,mlp512x1|bbb|s1|val|standard,0.075,0.075,0.05,0.1,50,50,0.09340707578529106,0.037315636908736065,0.018969072164948454,1.0,0.925,0.0,106.32
mlp512x1,bbb,2,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s2|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.01,50,50,0.07499999999999997,0.03843664243397704,0.0,0.04,0.925,0.0,94.12
mlp512x1,bbb,2,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s2|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.05,50,50,0.08586841774538138,0.040240757732226996,0.0105944451426417,0.04,0.925,0.0,98.38
