architecture,family,seed,eval_split,training,train_epsilon,rob_lam,config_id,config_label,model_id,cert_theta,cert_gamma,cert_alpha,eval_epsilon,mean_p_safe_lower,mean_p_safe_upper,mean_interval_width,frac_p_safe_lower_geq_0p5,mean_p_safe_point,median_p_safe_point,frac_p_safe_point_geq_0p9,mean_unknown_frac,mean_property_evaluations,mean_net_frac_safe,mean_net_frac_unsafe
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.01,0.8875384615384614,0.963,0.07546153846153843,0.96,0.9595384615384616,1.0,0.96,0.0004615384615384616,94.84,0.96,0.04
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.05,0.8503549752999294,0.9445,0.09414502470007054,0.92,0.9193549752999295,1.0,0.92,0.02064502470007057,95.26,0.92,0.06
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.07,0.7990281691763539,0.9266095890410959,0.12758141986474184,0.86,0.8650281691763542,1.0,0.84,0.05414708855560475,111.44,0.88,0.08
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.08,0.74525839003092,0.9088333333333334,0.1635749433024132,0.82,0.8073178305903608,1.0,0.78,0.09371309724469087,108.68,0.86,0.1
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.1,0.5358294625720776,0.901275123087587,0.36544566051550925,0.58,0.5820057017538243,0.9916666666666667,0.54,0.305348485507862,124.36,0.64,0.1
mlp512x1,bbb,0,val,standard,,,standard,standard,mlp512x1|bbb|s0|val|standard,0.075,0.075,0.05,0.01,0.8629414794396051,0.963,0.10005852056039474,0.96,0.9349414794396051,1.0,0.9,0.02505852056039477,114.38,0.96,0.04
mlp512x1,bbb,0,val,standard,,,standard,standard,mlp512x1|bbb|s0|val|standard,0.075,0.075,0.05,0.05,0.0,0.48497326561995713,0.48497326561995713,0.0,0.0,0.0,0.0,0.42577319587628865,186.92,0.18,0.1
mlp512x1,bbb,0,val,standard,,,standard,standard,mlp512x1|bbb|s0|val|standard,0.075,0.075,0.05,0.07,0.0,0.20678641964851888,0.20678641964851888,0.0,0.0,0.0,0.0,0.13587628865979381,138.74,0.02,0.28
mlp512x1,bbb,0,val,standard,,,standard,standard,mlp512x1|bbb|s0|val|standard,0.075,0.075,0.05,0.08,0.0,0.15185756689936997,0.15185756689936997,0.0,0.0,0.0,0.0,0.0779381443298969,120.12,0.0,0.44
mlp512x1,bbb,0,val,standard,,,standard,standard,mlp512x1|bbb|s0|val|standard,0.075,0.075,0.05,0.1,0.0,0.09339911517459917,0.09339911517459917,0.0,0.0,0.0,0.0,0.017319587628865978,108.04,0.0,0.74
mlp512x1,bbb,1,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s1|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.01,0.8879999999999998,0.963,0.07499999999999997,0.96,0.96,1.0,0.96,0.0,94.12,0.96,0.04
mlp512x1,bbb,1,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s1|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.05,0.8850206557733021,0.963,0.07797934422669775,0.96,0.9570206557733023,1.0,0.96,0.0029793442266977904,98.2,0.96,0.04
mlp512x1,bbb,1,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s1|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.07,0.7917170935080403,0.9363051750380518,0.1445880815300112,0.84,0.8584814247182316,1.0,0.84,0.06945606296973217,110.32,0.9,0.06
mlp512x1,bbb,1,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s1|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.08,0.6896180845434771,0.9275659632234975,0.23794787868002043,0.74,0.7512950756939193,1.0,0.7,0.16664306863597744,126.86,0.84,0.08
mlp512x1,bbb,1,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s1|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.1,0.5308812669494473,0.8689257001719111,0.33804443322246386,0.56,0.5779407075088878,1.0,0.54,0.2723685708416277,132.44,0.68,0.14
mlp512x1,bbb,1,val,standard,,,standard,standard,mlp512x1|bbb|s1|val|standard,0.075,0.075,0.05,0.01,0.8466460748848419,0.9658057553956835,0.11915968051084136,0.92,0.918646074884842,1.0,0.88,0.04328007499205209,121.9,0.96,0.02
mlp512x1,bbb,1,val,standard,,,standard,standard,mlp512x1|bbb|s1|val|standard,0.075,0.075,0.05,0.05,0.0,0.44524384295225744,0.44524384295225744,0.0,0.0,0.0,0.0,0.3855670103092783,196.38,0.18,0.08
mlp512x1,bbb,1,val,standard,,,standard,standard,mlp512x1|bbb|s1|val|standard,0.075,0.075,0.05,0.07,0.0,0.20801587076314532,0.20801587076314532,0.0,0.0,0.0,0.0,0.13649484536082473,127.16,0.02,0.32
mlp512x1,bbb,1,val,standard,,,standard,standard,mlp512x1|bbb|s1|val|standard,0.075,0.075,0.05,0.08,0.0,0.15557849485123912,0.15557849485123912,0.0,0.0,0.0,0.0,0.08082474226804123,122.14,0.0,0.52
mlp512x1,bbb,1,val,standard,,,standard,standard,mlp512x1|bbb|s1|val|standard,0.075,0.075,0.05,0.1,0.0,0.09340707578529106,0.09340707578529106,0.0,0.0,0.0,0.0,0.018969072164948454,106.32,0.0,0.78
mlp512x1,bbb,2,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s2|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.01,0.8879999999999998,0.963,0.07499999999999997,0.96,0.96,1.0,0.96,0.0,94.12,0.96,0.04
mlp512x1,bbb,2,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s2|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.05,0.8771315822546185,0.963,0.08586841774538138,0.94,0.9491315822546186,1.0,0.94,0.0105944451426417,98.38,0.96,0.04
mlp512x1,bbb,2,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s2|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.07,0.8227002320789409,0.9411171011931065,0.11841686911416549,0.9,0.8905228127241023,1.0,0.88,0.04473491923466063,105.9,0.92,0.08
mlp512x1,bbb,2,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s2|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.08,0.7284325789249442,0.9403835616438356,0.21195098271889123,0.78,0.7940723524564376,1.0,0.76,0.1398000451898807,120.42,0.9,0.08
mlp512x1,bbb,2,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s2|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.1,0.5224539807165268,0.8836131563926939,0.3611591756761672,0.56,0.5688394267734638,0.9870795107033639,0.54,0.2941610348360145,141.14,0.7,0.12
mlp512x1,bbb,2,val,standard,,,standard,standard,mlp512x1|bbb|s2|val|standard,0.075,0.075,0.05,0.01,0.8604333202541344,0.963,0.10256667974586539,0.96,0.9324333202541345,1.0,0.86,0.026813255088331177,119.06,0.96,0.04
mlp512x1,bbb,2,val,standard,,,standard,standard,mlp512x1|bbb|s2|val|standard,0.075,0.075,0.05,0.05,0.0,0.4709084591933798,0.4709084591933798,0.0,0.0,0.0,0.0,0.4051546391752578,190.22,0.16,0.08
mlp512x1,bbb,2,val,standard,,,standard,standard,mlp512x1|bbb|s2|val|standard,0.075,0.075,0.05,0.07,0.0,0.1852023469338987,0.1852023469338987,0.0,0.0,0.0,0.0,0.11237113402061855,141.48,0.0,0.3
mlp512x1,bbb,2,val,standard,,,standard,standard,mlp512x1|bbb|s2|val|standard,0.075,0.075,0.05,0.08,0.0,0.12090903484202227,0.12090903484202227,0.0,0.0,0.0,0.0,0.04742268041237113,123.3,0.0,0.5
mlp512x1,bbb,2,val,standard,,,standard,standard,mlp512x1|bbb|s2|val|standard,0.075,0.075,0.05,0.1,0.0,0.08227167293316429,0.08227167293316429,0.0,0.0,0.0,0.0,0.007216494845360824,105.28,0.0,0.72
mlp512x1,bbb,3,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s3|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.01,0.8879999999999998,0.963,0.07499999999999997,0.96,0.96,1.0,0.96,0.0,94.12,0.96,0.04
mlp512x1,bbb,3,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s3|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.05,0.8693165137614679,0.9445,0.07518348623853206,0.94,0.9398165137614679,1.0,0.94,0.0001834862385321101,94.48,0.94,0.06
mlp512x1,bbb,3,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s3|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.07,0.7799887830057574,0.9260252897787146,0.14603650677295701,0.84,0.8449365441997873,1.0,0.84,0.07201683324289626,110.32,0.86,0.06
mlp512x1,bbb,3,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s3|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.08,0.7579831804281345,0.8935933407471941,0.13561016031905948,0.82,0.8196601715785771,1.0,0.82,0.0636387974935879,103.42,0.82,0.12
mlp512x1,bbb,3,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s3|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.1,0.5699510722454033,0.8600090920111529,0.2900580197657495,0.62,0.6212439748841657,1.0,0.6,0.22034015568657686,132.1,0.76,0.16
mlp512x1,bbb,3,val,standard,,,standard,standard,mlp512x1|bbb|s3|val|standard,0.075,0.075,0.05,0.01,0.8554164860840683,0.9635594405594406,0.10814295447537212,0.92,0.9274164860840685,1.0,0.9,0.03287711118526513,115.22,0.96,0.04
mlp512x1,bbb,3,val,standard,,,standard,standard,mlp512x1|bbb|s3|val|standard,0.075,0.075,0.05,0.05,0.0,0.46701871386339583,0.46701871386339583,0.0,0.0,0.0,0.0,0.4043298969072165,186.26,0.18,0.08
mlp512x1,bbb,3,val,standard,,,standard,standard,mlp512x1|bbb|s3|val|standard,0.075,0.075,0.05,0.07,0.0,0.20991593065627534,0.20991593065627534,0.0,0.0,0.0,0.0,0.14,131.2,0.0,0.28
mlp512x1,bbb,3,val,standard,,,standard,standard,mlp512x1|bbb|s3|val|standard,0.075,0.075,0.05,0.08,0.0,0.16075034744521022,0.16075034744521022,0.0,0.0,0.0,0.0,0.08412371134020619,121.3,0.0,0.5
mlp512x1,bbb,3,val,standard,,,standard,standard,mlp512x1|bbb|s3|val|standard,0.075,0.075,0.05,0.1,0.0,0.09507939970334174,0.09507939970334174,0.0,0.0,0.0,0.0,0.021443298969072166,109.9,0.0,0.74
mlp512x1,bbb,4,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s4|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.01,0.8879999999999998,0.963,0.07499999999999997,0.96,0.96,1.0,0.96,0.0,94.12,0.96,0.04
mlp512x1,bbb,4,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s4|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.05,0.8640890410958904,0.9459705882352941,0.08188154713940367,0.94,0.9345890410958905,1.0,0.92,0.007266629007202373,100.28,0.94,0.06
mlp512x1,bbb,4,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s4|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.07,0.7738173515981734,0.9201513477684489,0.1463339961702754,0.84,0.8402651127922034,1.0,0.82,0.07279518942499759,109.96,0.9,0.08
mlp512x1,bbb,4,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s4|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.08,0.742404109589041,0.8952208242695044,0.15281671468046323,0.8,0.8045707762557077,1.0,0.78,0.08161479075460151,110.14,0.84,0.1
mlp512x1,bbb,4,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s4|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.1,0.5550516724317357,0.8755543953763132,0.3205027229445775,0.6,0.6045516724317356,1.0,0.58,0.258541111073419,119.0,0.72,0.14
mlp512x1,bbb,4,val,standard,,,standard,standard,mlp512x1|bbb|s4|val|standard,0.075,0.075,0.05,0.01,0.8279103039593844,0.9622777777777778,0.1343674738183934,0.88,0.8999103039593842,1.0,0.86,0.055991362428854885,120.18,0.96,0.04
mlp512x1,bbb,4,val,standard,,,standard,standard,mlp512x1|bbb|s4|val|standard,0.075,0.075,0.05,0.05,0.0,0.4604664796248992,0.4604664796248992,0.0,0.0,0.0,0.0,0.3983505154639175,188.38,0.16,0.12
mlp512x1,bbb,4,val,standard,,,standard,standard,mlp512x1|bbb|s4|val|standard,0.075,0.075,0.05,0.07,0.0,0.18835269172376695,0.18835269172376695,0.0,0.0,0.0,0.0,0.11278350515463917,139.1,0.0,0.32
mlp512x1,bbb,4,val,standard,,,standard,standard,mlp512x1|bbb|s4|val|standard,0.075,0.075,0.05,0.08,0.0,0.1374791530622969,0.1374791530622969,0.0,0.0,0.0,0.0,0.059381443298969064,121.1,0.0,0.54
mlp512x1,bbb,4,val,standard,,,standard,standard,mlp512x1|bbb|s4|val|standard,0.075,0.075,0.05,0.1,0.0,0.08392333013000584,0.08392333013000584,0.0,0.0,0.0,0.0,0.008453608247422681,107.06,0.0,0.68
mlp512x1,deterministic,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|deterministic|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.01,0.8879999999999998,0.963,0.07499999999999997,0.96,0.96,1.0,0.96,0.0,94.12,0.96,0.04
mlp512x1,deterministic,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|deterministic|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.05,0.8879999999999998,0.963,0.07499999999999997,0.96,0.96,1.0,0.96,0.0,94.12,0.96,0.04
mlp512x1,deterministic,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|deterministic|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.07,0.8879999999999998,0.963,0.07499999999999997,0.96,0.96,1.0,0.96,0.0,94.12,0.96,0.04
mlp512x1,deterministic,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|deterministic|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.08,0.851,0.963,0.11199999999999996,0.92,0.92,1.0,0.92,0.04,94.24,0.92,0.04
mlp512x1,deterministic,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|deterministic|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.1,0.7214999999999999,0.9445,0.22299999999999998,0.78,0.78,1.0,0.78,0.16,94.66,0.78,0.06
mlp512x1,deterministic,0,val,standard,,,standard,standard,mlp512x1|deterministic|s0|val|standard,0.075,0.075,0.05,0.01,0.8694999999999999,0.963,0.09349999999999996,0.94,0.94,1.0,0.94,0.02,94.18,0.94,0.04
mlp512x1,deterministic,0,val,standard,,,standard,standard,mlp512x1|deterministic|s0|val|standard,0.075,0.075,0.05,0.05,0.0,0.5655205479452055,0.5655205479452055,0.0,0.0,0.0,0.0,0.528659793814433,104.8,0.0,0.46
mlp512x1,deterministic,0,val,standard,,,standard,standard,mlp512x1|deterministic|s0|val|standard,0.075,0.075,0.05,0.07,0.0,0.22299999999999995,0.22299999999999995,0.0,0.0,0.0,0.0,0.16,97.0,0.0,0.84
mlp512x1,deterministic,0,val,standard,,,standard,standard,mlp512x1|deterministic|s0|val|standard,0.075,0.075,0.05,0.08,0.0,0.16749999999999993,0.16749999999999993,0.0,0.0,0.0,0.0,0.1,97.0,0.0,0.9
mlp512x1,deterministic,0,val,standard,,,standard,standard,mlp512x1|deterministic|s0|val|standard,0.075,0.075,0.05,0.1,0.0,0.11199999999999996,0.11199999999999996,0.0,0.0,0.0,0.0,0.04,97.0,0.0,0.96
mlp512x1,deterministic,1,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|deterministic|s1|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.01,0.8879999999999998,0.963,0.07499999999999997,0.96,0.96,1.0,0.96,0.0,94.12,0.96,0.04
mlp512x1,deterministic,1,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|deterministic|s1|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.05,0.8694999999999999,0.963,0.09349999999999996,0.94,0.94,1.0,0.94,0.02,94.18,0.94,0.04
mlp512x1,deterministic,1,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|deterministic|s1|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.07,0.8324999999999999,0.9445,0.11199999999999996,0.9,0.9,1.0,0.9,0.04,94.3,0.9,0.06
mlp512x1,deterministic,1,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|deterministic|s1|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.08,0.7954999999999999,0.9445,0.14899999999999997,0.86,0.86,1.0,0.86,0.07814432989690723,96.44,0.86,0.06
mlp512x1,deterministic,1,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|deterministic|s1|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.1,0.6659999999999999,0.9247307692307691,0.2587307692307692,0.72,0.72,1.0,0.72,0.19711340206185568,98.1,0.72,0.08
mlp512x1,deterministic,1,val,standard,,,standard,standard,mlp512x1|deterministic|s1|val|standard,0.075,0.075,0.05,0.01,0.8879999999999998,0.963,0.07499999999999997,0.96,0.96,1.0,0.96,0.0,94.12,0.96,0.04
mlp512x1,deterministic,1,val,standard,,,standard,standard,mlp512x1|deterministic|s1|val|standard,0.075,0.075,0.05,0.05,0.0,0.49487671232876707,0.49487671232876707,0.0,0.0,0.0,0.0,0.4523711340206185,100.9,0.0,0.54
mlp512x1,deterministic,1,val,standard,,,standard,standard,mlp512x1|deterministic|s1|val|standard,0.075,0.075,0.05,0.07,0.0,0.27849999999999997,0.27849999999999997,0.0,0.0,0.0,0.0,0.21896907216494846,98.56,0.0,0.78
mlp512x1,deterministic,1,val,standard,,,standard,standard,mlp512x1|deterministic|s1|val|standard,0.075,0.075,0.05,0.08,0.0,0.16749999999999993,0.16749999999999993,0.0,0.0,0.0,0.0,0.09855670103092784,98.64,0.0,0.9
mlp512x1,deterministic,1,val,standard,,,standard,standard,mlp512x1|deterministic|s1|val|standard,0.075,0.075,0.05,0.1,0.0,0.09349999999999996,0.09349999999999996,0.0,0.0,0.0,0.0,0.02,97.0,0.0,0.98
mlp512x1,deterministic,2,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|deterministic|s2|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.01,0.8879999999999998,0.963,0.07499999999999997,0.96,0.96,1.0,0.96,0.0,94.12,0.96,0.04
mlp512x1,deterministic,2,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|deterministic|s2|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.05,0.8694999999999999,0.9445,0.07499999999999997,0.94,0.94,1.0,0.94,0.0,94.18,0.94,0.06
