architecture,family,seed,eval_split,training,train_epsilon,rob_lam,config_id,config_label,model_id,cert_theta,cert_gamma,cert_alpha,n,mc_samples,accuracy,nll,brier,ece,ece_adaptive,mean_predictive_entropy,mean_mutual_information,mean_confidence
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,2000.0,50.0,0.971,0.15077471733093262,0.048002954572439194,0.01241301357746127,0.010356512129306777,0.0569877571160033,0.000998290895563332,0.9800454527229071
mlp512x1,bbb,0,val,standard,,,standard,standard,mlp512x1|bbb|s0|val|standard,0.075,0.075,0.05,2000.0,50.0,0.983,0.06626683473587036,0.0266206506639719,0.005448081597685778,0.002084411263465887,0.042643246763886526,0.009008157485180654,0.9850094213117543
mlp512x1,bbb,1,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s1|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,2000.0,50.0,0.976,0.13058967888355255,0.038667794317007065,0.010462432533502531,0.0068827622830867855,0.04998742455415619,0.0010896630849851737,0.9828151767066865
mlp512x1,bbb,1,val,standard,,,standard,standard,mlp512x1|bbb|s1|val|standard,0.075,0.075,0.05,2000.0,50.0,0.984,0.06449752300977707,0.0260970089584589,0.005770410090684916,0.0035643760263919908,0.04043241976598133,0.008862724476977703,0.9862744270857936
mlp512x1,bbb,2,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s2|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,2000.0,50.0,0.9705,0.15462316572666168,0.046346429735422134,0.013719109252095248,0.011362463057041184,0.0542048524306308,0.0010343389894726268,0.9818623854760826
mlp512x1,bbb,2,val,standard,,,standard,standard,mlp512x1|bbb|s2|val|standard,0.075,0.075,0.05,2000.0,50.0,0.9835,0.06176009774208069,0.025547683238983154,0.008844703838229228,0.005192423164844526,0.04219531472074644,0.009150872927909417,0.9849416720134241
mlp512x1,bbb,3,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s3|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,2000.0,50.0,0.974,0.12775129079818726,0.04192516952753067,0.011816278055310225,0.008571053534746164,0.05371821842235386,0.0009890742706961146,0.9817464399650134
mlp512x1,bbb,3,val,standard,,,standard,standard,mlp512x1|bbb|s3|val|standard,0.075,0.075,0.05,2000.0,50.0,0.981,0.06244973838329315,0.02677130326628685,0.005202927559614133,0.0033388472199440077,0.044635132378922776,0.009582639925980494,0.9842799412748661
mlp512x1,bbb,4,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s4|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,2000.0,50.0,0.9735,0.13891811668872833,0.043675124645233154,0.009970108941197368,0.006157140731811511,0.0577037584139229,0.0011838475482855641,0.9796568717619032
mlp512x1,bbb,4,val,standard,,,standard,standard,mlp512x1|bbb|s4|val|standard,0.075,0.075,0.05,2000.0,50.0,0.979,0.07868196070194244,0.03307553753256798,0.008140942245721858,0.005734968632459647,0.04407460145853448,0.009582433437725513,0.9846670027899137
mlp512x1,deterministic,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|deterministic|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,2000.0,1.0,0.9825,0.12677916884422302,0.029872069135308266,0.011432120412588138,0.009989130616188046,0.02075127713153394,0.0,0.9924532389193773
mlp512x1,deterministic,0,val,standard,,,standard,standard,mlp512x1|deterministic|s0|val|standard,0.075,0.075,0.05,2000.0,1.0,0.983,0.08681868761777878,0.027097536250948906,0.011540438741445511,0.010414384096860893,0.01606882896789224,0.0,0.993414045393467
mlp512x1,deterministic,1,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|deterministic|s1|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,2000.0,1.0,0.9815,0.11608842760324478,0.03089398704469204,0.012247816070914314,0.010748209416866302,0.02117546025102268,0.0,0.9922413293719292
mlp512x1,deterministic,1,val,standard,,,standard,standard,mlp512x1|deterministic|s1|val|standard,0.075,0.075,0.05,2000.0,1.0,0.984,0.09183558821678162,0.028545662760734558,0.010723709821701049,0.008894495755434039,0.01807163428388323,0.0,0.9928942178785801
mlp512x1,deterministic,2,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|deterministic|s2|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,2000.0,1.0,0.9835,0.11238594353199005,0.02831673063337803,0.010338705912232392,0.009308703184127803,0.02061899808174393,0.0,0.9928086711615324
mlp512x1,deterministic,2,val,standard,,,standard,standard,mlp512x1|deterministic|s2|val|standard,0.075,0.075,0.05,2000.0,1.0,0.9785,0.10018559545278549,0.035931166261434555,0.013428808808326715,0.013337173789739608,0.02214666130160336,0.0,0.9918327793776989
mlp512x1,deterministic,3,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|deterministic|s3|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,2000.0,1.0,0.983,0.10544678568840027,0.028660330921411514,0.010430705875158292,0.009533886969089536,0.020543048717888777,0.0,0.9925254707932473
mlp512x1,deterministic,3,val,standard,,,standard,standard,mlp512x1|deterministic|s3|val|standard,0.075,0.075,0.05,2000.0,1.0,0.985,0.09490340948104858,0.026721008121967316,0.010744011148810413,0.009071741014719007,0.015236952667704704,0.0,0.9940713864713907
mlp512x1,deterministic,4,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|deterministic|s4|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,2000.0,1.0,0.9815,0.10860449075698853,0.02944631688296795,0.012268244087696032,0.011847101151943222,0.01958913245652073,0.0,0.9933461215496063
mlp512x1,deterministic,4,val,standard,,,standard,standard,mlp512x1|deterministic|s4|val|standard,0.075,0.075,0.05,2000.0,1.0,0.9825,0.09071782231330872,0.027641315013170242,0.010093498542904814,0.010095338076353077,0.018167535834886187,0.0,0.9925935165286064
mlp512x1,mc_dropout,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|mc_dropout|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,2000.0,50.0,0.98,0.09197109192609787,0.034598641097545624,0.0065138548016547785,0.005226478517055524,0.06003210126585735,0.017797640937114393,0.9812408300569824
mlp512x1,mc_dropout,0,val,standard,,,standard,standard,mlp512x1|mc_dropout|s0|val|standard,0.075,0.075,0.05,2000.0,50.0,0.984,0.060339830815792084,0.024618422612547874,0.003916876852512345,0.003092420369386678,0.04851186265034349,0.021225140639823486,0.98297807907291
mlp512x1,mc_dropout,1,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|mc_dropout|s1|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,2000.0,50.0,0.9805,0.07568500936031342,0.03139745444059372,0.004159160807728752,0.0028447888493538004,0.05860295871394739,0.018447030892612862,0.9822058282840306
mlp512x1,mc_dropout,1,val,standard,,,standard,standard,mlp512x1|mc_dropout|s1|val|standard,0.075,0.075,0.05,2000.0,50.0,0.984,0.060923513025045395,0.025407005101442337,0.004108783900737711,0.003044843971729279,0.04996705961359782,0.021787170506301648,0.9830256507352871
mlp512x1,mc_dropout,2,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|mc_dropout|s2|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,2000.0,50.0,0.9815,0.08585622906684875,0.0310519989579916,0.005670308381319083,0.004428827702999117,0.05942381195376859,0.018992704253321006,0.9813450787423046
mlp512x1,mc_dropout,2,val,standard,,,standard,standard,mlp512x1|mc_dropout|s2|val|standard,0.075,0.075,0.05,2000.0,50.0,0.9825,0.06546533107757568,0.02738087810575962,0.004296859532594657,0.0029434662461280893,0.05183670273946586,0.022356686059697373,0.9822296568276765
mlp512x1,mc_dropout,3,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|mc_dropout|s3|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,2000.0,50.0,0.9815,0.08708316087722778,0.03141990303993225,0.010342599496245351,0.005705492258071908,0.05520814700228521,0.01785576004396298,0.9832673289525876
mlp512x1,mc_dropout,3,val,standard,,,standard,standard,mlp512x1|mc_dropout|s3|val|standard,0.075,0.075,0.05,2000.0,50.0,0.985,0.06416387856006622,0.025440070778131485,0.005683330625295639,0.0034250943064689683,0.04749686253287493,0.021134402478619686,0.9835833457315316
mlp512x1,mc_dropout,4,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|mc_dropout|s4|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,2000.0,50.0,0.9805,0.0861591175198555,0.03166546672582626,0.005146959930658361,0.0026373956203460786,0.05742613586927417,0.017453371236882623,0.9825476543632258
mlp512x1,mc_dropout,4,val,standard,,,standard,standard,mlp512x1|mc_dropout|s4|val|standard,0.075,0.075,0.05,2000.0,50.0,0.985,0.060632381588220596,0.025452837347984314,0.005012292817234948,0.0015451796650886513,0.04794997900306933,0.020201045737061323,0.9843137602436863
mlp512x1,vogn,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|vogn|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,2000.0,50.0,0.919,0.28996992111206055,0.12147364765405655,0.020124958820641057,0.012806573987007143,0.25628720600937027,0.017946012298460146,0.9206307239781156
mlp512x1,vogn,0,val,standard,,,standard,standard,mlp512x1|vogn|s0|val|standard,0.075,0.075,0.05,2000.0,50.0,0.9735,0.11834441870450974,0.04971815645694733,0.039263880282640495,0.03899940890073777,0.21392947367814752,0.06442737606481821,0.9345005662944754
mlp512x1,vogn,1,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|vogn|s1|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,2000.0,50.0,0.933,0.2640626132488251,0.10595861822366714,0.018245610311627403,0.016637529283761984,0.24957481338295975,0.016234935604784135,0.928043590483549
mlp512x1,vogn,1,val,standard,,,standard,standard,mlp512x1|vogn|s1|val|standard,0.075,0.075,0.05,2000.0,50.0,0.971,0.11974963545799255,0.050462543964385986,0.037051252797245984,0.03643248051404953,0.21846601299891188,0.06703795091139228,0.9345675026087452
mlp512x1,vogn,2,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|vogn|s2|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,2000.0,50.0,0.931,0.2648899257183075,0.10536624491214752,0.0247661287486553,0.02309958502650262,0.2486372038651046,0.015730449326090863,0.9290702069974411
mlp512x1,vogn,2,val,standard,,,standard,standard,mlp512x1|vogn|s2|val|standard,0.075,0.075,0.05,2000.0,50.0,0.9735,0.1145874559879303,0.048470526933670044,0.03834065170586108,0.03768148225545882,0.21479311830112857,0.06248834445074432,0.9358184864469618
mlp512x1,vogn,3,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|vogn|s3|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,2000.0,50.0,0.9255,0.2788510322570801,0.11024252325296402,0.027027915075421308,0.025781783491373073,0.252199538598721,0.016225199749160472,0.9279369952993503
mlp512x1,vogn,3,val,standard,,,standard,standard,mlp512x1|vogn|s3|val|standard,0.075,0.075,0.05,2000.0,50.0,0.9725,0.11410091817378998,0.04806903749704361,0.03625703325867649,0.0351961311995983,0.20730354762803113,0.06090793418877254,0.9373038821709782
mlp512x1,vogn,4,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|vogn|s4|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,2000.0,50.0,0.93,0.26382601261138916,0.10819880664348602,0.02071483278274537,0.017404126495122907,0.26626701347205417,0.018470294542279213,0.9229024306920403
mlp512x1,vogn,4,val,standard,,,standard,standard,mlp512x1|vogn|s4|val|standard,0.075,0.075,0.05,2000.0,50.0,0.9735,0.11679081618785858,0.04895579442381859,0.04008619101345538,0.03880725997686385,0.21494073347719017,0.06506946374840514,0.9346927336518379
