architecture,family,eval_split,training,train_epsilon,rob_lam,config_id,eval_epsilon,subset,score,metric,n_seeds,mean,sd,ci_low,ci_high
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,expected_entropy,rho_pessimistic,5,-0.2519239823726145,0.060811636502215966,-0.3274316020892699,-0.17641636265595906
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,expected_entropy,rho_optimistic,5,-0.23480641733446853,0.037223033483163026,-0.2810249179144453,-0.18858791675449174
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,expected_entropy,rho_pessimistic,1,-0.23690664541215647,,,
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,expected_entropy,rho_optimistic,0,,,,
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,mutual_information,rho_pessimistic,5,-0.2723279119550647,0.0642033855970255,-0.3520469444136854,-0.19260887949644406
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,mutual_information,rho_optimistic,5,-0.2531948717040353,0.04342527261538708,-0.3071144693227453,-0.19927527408532536
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,mutual_information,rho_pessimistic,1,-0.24743582965269678,,,
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,mutual_information,rho_optimistic,0,,,,
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,one_minus_confidence,rho_pessimistic,5,-0.25797541022121945,0.06452476753769285,-0.3380934910652396,-0.17785732937719928
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,one_minus_confidence,rho_optimistic,5,-0.2407408995359185,0.03934643186011222,-0.2895959474343974,-0.1918858516374396
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,one_minus_confidence,rho_pessimistic,1,-0.24234079236944003,,,
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,one_minus_confidence,rho_optimistic,0,,,,
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,predictive_entropy,rho_pessimistic,5,-0.2519239823726145,0.060811636502215966,-0.3274316020892699,-0.17641636265595906
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,predictive_entropy,rho_optimistic,5,-0.23480641733446853,0.037223033483163026,-0.2810249179144453,-0.18858791675449174
