architecture,family,eval_split,training,train_epsilon,rob_lam,config_id,eval_epsilon,subset,score,task,tau,metric,n_seeds,mean,sd,ci_low,ci_high
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,expected_entropy,certified_below_threshold,0.5,auroc,5,0.8458333333333332,0.05482373902891988,0.7777606703342048,0.9139059963324616
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,expected_entropy,certified_below_threshold,0.5,auprc,5,0.5650051759834369,0.022571326708490363,0.5369791722178093,0.5930311797490645
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,expected_entropy,certified_below_threshold,0.5,prevalence,5,0.04,0.0,0.04,0.04
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,expected_entropy,certified_below_threshold,0.9,auroc,5,0.8458333333333332,0.05482373902891988,0.7777606703342048,0.9139059963324616
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,expected_entropy,certified_below_threshold,0.9,auprc,5,0.5650051759834369,0.022571326708490363,0.5369791722178093,0.5930311797490645
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,expected_entropy,certified_below_threshold,0.9,prevalence,5,0.04,0.0,0.04,0.04
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,expected_entropy,pgd_failure,,auroc,5,0.8458333333333332,0.05482373902891988,0.7777606703342048,0.9139059963324616
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,expected_entropy,pgd_failure,,auprc,5,0.5650051759834369,0.022571326708490363,0.5369791722178093,0.5930311797490645
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,expected_entropy,pgd_failure,,prevalence,5,0.04,0.0,0.04,0.04
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,expected_entropy,certified_below_threshold,0.5,auroc,0,,,,
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,expected_entropy,certified_below_threshold,0.5,auprc,0,,,,
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,expected_entropy,certified_below_threshold,0.5,prevalence,5,0.0,0.0,0.0,0.0
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,expected_entropy,certified_below_threshold,0.9,auroc,0,,,,
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,expected_entropy,certified_below_threshold,0.9,auprc,0,,,,
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,expected_entropy,certified_below_threshold,0.9,prevalence,5,0.0,0.0,0.0,0.0
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,expected_entropy,pgd_failure,,auroc,0,,,,
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,expected_entropy,pgd_failure,,auprc,0,,,,
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,expected_entropy,pgd_failure,,prevalence,5,0.0,0.0,0.0,0.0
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,mutual_information,certified_below_threshold,0.5,auroc,5,0.8729166666666666,0.06395867263753648,0.7935014854797373,0.9523318478535958
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,mutual_information,certified_below_threshold,0.5,auprc,5,0.5335061137692716,0.11722985679371424,0.3879460210739337,0.6790662064646095
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,mutual_information,certified_below_threshold,0.5,prevalence,5,0.04,0.0,0.04,0.04
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,mutual_information,certified_below_threshold,0.9,auroc,5,0.8729166666666666,0.06395867263753648,0.7935014854797373,0.9523318478535958
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,mutual_information,certified_below_threshold,0.9,auprc,5,0.5335061137692716,0.11722985679371424,0.3879460210739337,0.6790662064646095
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,mutual_information,certified_below_threshold,0.9,prevalence,5,0.04,0.0,0.04,0.04
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,mutual_information,pgd_failure,,auroc,5,0.8729166666666666,0.06395867263753648,0.7935014854797373,0.9523318478535958
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,mutual_information,pgd_failure,,auprc,5,0.5335061137692716,0.11722985679371424,0.3879460210739337,0.6790662064646095
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,mutual_information,pgd_failure,,prevalence,5,0.04,0.0,0.04,0.04
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,mutual_information,certified_below_threshold,0.5,auroc,0,,,,
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,mutual_information,certified_below_threshold,0.5,auprc,0,,,,
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,mutual_information,certified_below_threshold,0.5,prevalence,5,0.0,0.0,0.0,0.0
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,mutual_information,certified_below_threshold,0.9,auroc,0,,,,
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,mutual_information,certified_below_threshold,0.9,auprc,0,,,,
