comparison_id,architecture,family,seed,eval_split,train_epsilon,rob_lam,robust_config_id,standard_model_id,robust_model_id
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s0|val|standard,mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s1|val|standard,mlp512x1|bbb|s1|val|robust_eps0p08_lam0p25
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed2_eps0p08_lam0p25.json,mlp512x1,bbb,2,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s2|val|standard,mlp512x1|bbb|s2|val|robust_eps0p08_lam0p25
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed3_eps0p08_lam0p25.json,mlp512x1,bbb,3,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s3|val|standard,mlp512x1|bbb|s3|val|robust_eps0p08_lam0p25
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed4_eps0p08_lam0p25.json,mlp512x1,bbb,4,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s4|val|standard,mlp512x1|bbb|s4|val|robust_eps0p08_lam0p25
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/deterministic/seed0_eps0p08_lam0p25.json,mlp512x1,deterministic,0,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|deterministic|s0|val|standard,mlp512x1|deterministic|s0|val|robust_eps0p08_lam0p25
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/deterministic/seed1_eps0p08_lam0p25.json,mlp512x1,deterministic,1,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|deterministic|s1|val|standard,mlp512x1|deterministic|s1|val|robust_eps0p08_lam0p25
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/deterministic/seed2_eps0p08_lam0p25.json,mlp512x1,deterministic,2,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|deterministic|s2|val|standard,mlp512x1|deterministic|s2|val|robust_eps0p08_lam0p25
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/deterministic/seed3_eps0p08_lam0p25.json,mlp512x1,deterministic,3,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|deterministic|s3|val|standard,mlp512x1|deterministic|s3|val|robust_eps0p08_lam0p25
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/deterministic/seed4_eps0p08_lam0p25.json,mlp512x1,deterministic,4,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|deterministic|s4|val|standard,mlp512x1|deterministic|s4|val|robust_eps0p08_lam0p25
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed0_eps0p08_lam0p25.json,mlp512x1,mc_dropout,0,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|mc_dropout|s0|val|standard,mlp512x1|mc_dropout|s0|val|robust_eps0p08_lam0p25
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed1_eps0p08_lam0p25.json,mlp512x1,mc_dropout,1,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|mc_dropout|s1|val|standard,mlp512x1|mc_dropout|s1|val|robust_eps0p08_lam0p25
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed2_eps0p08_lam0p25.json,mlp512x1,mc_dropout,2,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|mc_dropout|s2|val|standard,mlp512x1|mc_dropout|s2|val|robust_eps0p08_lam0p25
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed3_eps0p08_lam0p25.json,mlp512x1,mc_dropout,3,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|mc_dropout|s3|val|standard,mlp512x1|mc_dropout|s3|val|robust_eps0p08_lam0p25
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed4_eps0p08_lam0p25.json,mlp512x1,mc_dropout,4,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|mc_dropout|s4|val|standard,mlp512x1|mc_dropout|s4|val|robust_eps0p08_lam0p25
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/vogn/seed0_eps0p08_lam0p25.json,mlp512x1,vogn,0,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|vogn|s0|val|standard,mlp512x1|vogn|s0|val|robust_eps0p08_lam0p25
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/vogn/seed1_eps0p08_lam0p25.json,mlp512x1,vogn,1,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|vogn|s1|val|standard,mlp512x1|vogn|s1|val|robust_eps0p08_lam0p25
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/vogn/seed2_eps0p08_lam0p25.json,mlp512x1,vogn,2,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|vogn|s2|val|standard,mlp512x1|vogn|s2|val|robust_eps0p08_lam0p25
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/vogn/seed3_eps0p08_lam0p25.json,mlp512x1,vogn,3,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|vogn|s3|val|standard,mlp512x1|vogn|s3|val|robust_eps0p08_lam0p25
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/vogn/seed4_eps0p08_lam0p25.json,mlp512x1,vogn,4,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|vogn|s4|val|standard,mlp512x1|vogn|s4|val|robust_eps0p08_lam0p25
