architecture,family,seed,eval_split,training,train_epsilon,rob_lam,config_id,config_label,model_id,cert_theta,cert_gamma,cert_alpha,eval_epsilon,input_index,true_label,clean_correct,predictive_entropy,mutual_information,expected_entropy,confidence,predictive_margin,pgd_hit,pgd_attack_success,p_safe_lower,p_safe_upper,p_safe_point,p_safe_point_optimistic,p_safe_ci_low,p_safe_ci_high,unknown_frac,n_samples_used,n_property_evaluations,mean_net_verdict,cert_outcome_tau_0p5,cert_outcome_tau_0p9
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.01,0,0.0,1.0,7.184393325587735e-06,-1.7354432202409953e-07,7.357937647611834e-06,0.9999997615814209,,0.0,0.0,0.925,1.0,1.0,1.0,0.9615166490024712,1.0,0.0,94.0,94.0,safe,robust_above_threshold,robust_above_threshold
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.01,1,0.0,1.0,0.00013926347310189158,6.955815479159355e-07,0.00013856789155397564,0.9999890327453613,,0.0,0.0,0.925,1.0,1.0,1.0,0.9615166490024712,1.0,0.0,94.0,94.0,safe,robust_above_threshold,robust_above_threshold
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.01,2,0.0,1.0,1.0650820314594966e-07,9.603908779354242e-10,1.0554781226801424e-07,1.0,,0.0,0.0,0.925,1.0,1.0,1.0,0.9615166490024712,1.0,0.0,94.0,94.0,safe,robust_above_threshold,robust_above_threshold
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.01,3,0.0,1.0,1.7340807473764305e-14,2.303929616531697e-19,1.7340577080802652e-14,1.0,,0.0,0.0,0.925,1.0,1.0,1.0,0.9615166490024712,1.0,0.0,94.0,94.0,safe,robust_above_threshold,robust_above_threshold
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.01,4,0.0,1.0,1.9838720943798904e-10,1.2213147160267113e-12,1.9716589472196233e-10,1.0,,0.0,0.0,0.925,1.0,1.0,1.0,0.9615166490024712,1.0,0.0,94.0,94.0,safe,robust_above_threshold,robust_above_threshold
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.01,5,1.0,1.0,1.500336743731623e-08,1.0602718703012215e-10,1.4897340250286106e-08,1.0,,0.0,0.0,0.925,1.0,1.0,1.0,0.9615166490024712,1.0,0.0,94.0,94.0,safe,robust_above_threshold,robust_above_threshold
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.01,6,1.0,1.0,3.88349441493574e-08,1.0018297302849533e-10,3.87347611763289e-08,1.0,,0.0,0.0,0.925,1.0,1.0,1.0,0.9615166490024712,1.0,0.0,94.0,94.0,safe,robust_above_threshold,robust_above_threshold
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.01,7,1.0,1.0,2.2307106064545223e-06,-6.209825187397655e-08,2.292808858328499e-06,0.9999999403953552,,0.0,0.0,0.925,1.0,1.0,1.0,0.9615166490024712,1.0,0.0,94.0,94.0,safe,robust_above_threshold,robust_above_threshold
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.01,8,1.0,1.0,1.251570513893796e-10,4.3796910542681644e-13,1.2471908228395279e-10,1.0,,0.0,0.0,0.925,1.0,1.0,1.0,0.9615166490024712,1.0,0.0,94.0,94.0,safe,robust_above_threshold,robust_above_threshold
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.01,9,1.0,1.0,4.424032056249416e-07,1.0535927685850766e-09,4.4134961285635654e-07,1.0,,0.0,0.0,0.925,1.0,1.0,1.0,0.9615166490024712,1.0,0.0,94.0,94.0,safe,robust_above_threshold,robust_above_threshold
