architecture,family,seed,eval_split,training,train_epsilon,rob_lam,config_id,config_label,model_id,cert_theta,cert_gamma,cert_alpha,eval_epsilon,n,mc_samples,accuracy,nll,brier,ece,ece_adaptive,mean_predictive_entropy,mean_mutual_information,mean_confidence
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.01,2000.0,50.0,0.9615,0.18671801686286926,0.06127094849944115,0.017010029807686806,0.014529591351747532,0.06799247482206337,0.0010771760692579362,0.976029255231768
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.03,2000.0,50.0,0.9435,0.2755776047706604,0.09273866564035416,0.026472312599420535,0.023270798981189736,0.09404024232555322,0.0012042485585698152,0.9667706966979801
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.05,2000.0,50.0,0.9175,0.40143439173698425,0.13566751778125763,0.04034625400602817,0.03766853907704352,0.12861501788179316,0.0016012117015823612,0.9551684869812057
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.07,2000.0,50.0,0.8855,0.5707648396492004,0.19087021052837372,0.05716897411644462,0.05483316037058832,0.1757563636348105,0.0019084852159431517,0.9370300959447773
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.08,2000.0,50.0,0.859,0.6777680516242981,0.22621804475784302,0.07076181991398336,0.0670084583461285,0.20492013280043814,0.00210567460578104,0.9260084531029313
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.1,2000.0,50.0,0.803,0.9497986435890198,0.3138486444950104,0.09723727242648599,0.09545701318979265,0.2824563538997321,0.0026704950685268684,0.8984570231058449
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,0.15,2000.0,50.0,0.512,2.2381246089935303,0.7567312121391296,0.28938129138946533,0.2893812412321567,0.547870165841679,0.004690277815195744,0.8013812610573323
mlp512x1,bbb,0,val,standard,,,standard,standard,mlp512x1|bbb|s0|val|standard,0.075,0.075,0.05,0.01,2000.0,50.0,0.974,0.0964333638548851,0.039970215409994125,0.006718914330005628,0.0044332142770290486,0.06206314860977576,0.012794098904305468,0.9779117801839345
mlp512x1,bbb,0,val,standard,,,standard,standard,mlp512x1|bbb|s0|val|standard,0.075,0.075,0.05,0.03,2000.0,50.0,0.9395,0.2060215175151825,0.09065741300582886,0.01659579218924048,0.015557013839483274,0.1289970945868656,0.026310240939708348,0.9533307811381726
mlp512x1,bbb,0,val,standard,,,standard,standard,mlp512x1|bbb|s0|val|standard,0.075,0.075,0.05,0.05,2000.0,50.0,0.847,0.4607178270816803,0.2174280434846878,0.051402760386466996,0.0514036412537098,0.2487942547758933,0.05185062289173946,0.8984027438938024
