architecture,family,seed,eval_split,training,train_epsilon,rob_lam,config_id,config_label,model_id,cert_theta,cert_gamma,cert_alpha,posterior_kind,layer,sigma_w_mean,sigma_w_median,sigma_w_max,sigma_b_mean,relative_spread_mean,p_drop,mask_cv,stochastic
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,gaussian,0,0.1488528698682785,0.18553197383880615,0.2029552459716797,0.093751460313797,9.233638763427734,,,
mlp512x1,bbb,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,gaussian,1,0.041668422520160675,0.0385931096971035,0.17674683034420013,0.008741721510887146,8.268596649169922,,,
mlp512x1,bbb,0,val,standard,,,standard,standard,mlp512x1|bbb|s0|val|standard,0.075,0.075,0.05,gaussian,0,0.14294135570526123,0.1764848828315735,0.2251405268907547,0.04057905077934265,30113798144.0,,,
mlp512x1,bbb,0,val,standard,,,standard,standard,mlp512x1|bbb|s0|val|standard,0.075,0.075,0.05,gaussian,1,0.023632898926734924,0.019618365913629532,0.1801474690437317,0.012682619504630566,1.6817481517791748,,,
mlp512x1,bbb,1,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s1|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,gaussian,0,0.14669929444789886,0.18533535301685333,0.2019127607345581,0.0928594321012497,13.277091979980469,,,
mlp512x1,bbb,1,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s1|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,gaussian,1,0.04207912087440491,0.03927038982510567,0.16435007750988007,0.009000898338854313,7.741808891296387,,,
mlp512x1,bbb,1,val,standard,,,standard,standard,mlp512x1|bbb|s1|val|standard,0.075,0.075,0.05,gaussian,0,0.14273545145988464,0.17628264427185059,0.22513797879219055,0.040133845061063766,29494960128.0,,,
mlp512x1,bbb,1,val,standard,,,standard,standard,mlp512x1|bbb|s1|val|standard,0.075,0.075,0.05,gaussian,1,0.023461561650037766,0.019618714228272438,0.19140557944774628,0.012828722596168518,1.5380027294158936,,,
mlp512x1,bbb,2,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s2|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,gaussian,0,0.1482725292444229,0.1854526400566101,0.20241646468639374,0.09328000247478485,12.598231315612793,,,
mlp512x1,bbb,2,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s2|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,gaussian,1,0.041256897151470184,0.037486135959625244,0.15367010235786438,0.008962337858974934,9.453275680541992,,,
mlp512x1,bbb,2,val,standard,,,standard,standard,mlp512x1|bbb|s2|val|standard,0.075,0.075,0.05,gaussian,0,0.141963928937912,0.17426753044128418,0.22279490530490875,0.039277173578739166,29396373504.0,,,
mlp512x1,bbb,2,val,standard,,,standard,standard,mlp512x1|bbb|s2|val|standard,0.075,0.075,0.05,gaussian,1,0.023209402337670326,0.019282959401607513,0.1633893847465515,0.012820993550121784,1.1858718395233154,,,
mlp512x1,bbb,3,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s3|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,gaussian,0,0.14908051490783691,0.1860722452402115,0.20309817790985107,0.09450360387563705,11.930892944335938,,,
mlp512x1,bbb,3,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s3|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,gaussian,1,0.043324895203113556,0.03973814472556114,0.17090657353401184,0.009039743803441525,8.467023849487305,,,
mlp512x1,bbb,3,val,standard,,,standard,standard,mlp512x1|bbb|s3|val|standard,0.075,0.075,0.05,gaussian,0,0.14198288321495056,0.17407523095607758,0.21908734738826752,0.038882333785295486,30699327488.0,,,
mlp512x1,bbb,3,val,standard,,,standard,standard,mlp512x1|bbb|s3|val|standard,0.075,0.075,0.05,gaussian,1,0.023377031087875366,0.019854096695780754,0.2008039504289627,0.012592276558279991,1.3449981212615967,,,
mlp512x1,bbb,4,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s4|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,gaussian,0,0.147853285074234,0.18527473509311676,0.20307281613349915,0.09164290130138397,8.8161039352417,,,
mlp512x1,bbb,4,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|bbb|s4|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,gaussian,1,0.041226036846637726,0.03871830180287361,0.14566554129123688,0.009017430245876312,20.497753143310547,,,
mlp512x1,bbb,4,val,standard,,,standard,standard,mlp512x1|bbb|s4|val|standard,0.075,0.075,0.05,gaussian,0,0.14182834327220917,0.1738075315952301,0.22118812799453735,0.038627028465270996,30392719360.0,,,
mlp512x1,bbb,4,val,standard,,,standard,standard,mlp512x1|bbb|s4|val|standard,0.075,0.075,0.05,gaussian,1,0.023375585675239563,0.019562801346182823,0.1886916309595108,0.012515803799033165,1.7094084024429321,,,
mlp512x1,deterministic,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|deterministic|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,bernoulli_dropout,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mlp512x1,deterministic,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|deterministic|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,bernoulli_dropout,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
mlp512x1,deterministic,0,val,standard,,,standard,standard,mlp512x1|deterministic|s0|val|standard,0.075,0.075,0.05,bernoulli_dropout,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mlp512x1,deterministic,0,val,standard,,,standard,standard,mlp512x1|deterministic|s0|val|standard,0.075,0.075,0.05,bernoulli_dropout,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
mlp512x1,deterministic,1,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|deterministic|s1|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,bernoulli_dropout,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mlp512x1,deterministic,1,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|deterministic|s1|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,bernoulli_dropout,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
mlp512x1,deterministic,1,val,standard,,,standard,standard,mlp512x1|deterministic|s1|val|standard,0.075,0.075,0.05,bernoulli_dropout,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mlp512x1,deterministic,1,val,standard,,,standard,standard,mlp512x1|deterministic|s1|val|standard,0.075,0.075,0.05,bernoulli_dropout,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
mlp512x1,deterministic,2,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|deterministic|s2|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,bernoulli_dropout,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mlp512x1,deterministic,2,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|deterministic|s2|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,bernoulli_dropout,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
mlp512x1,deterministic,2,val,standard,,,standard,standard,mlp512x1|deterministic|s2|val|standard,0.075,0.075,0.05,bernoulli_dropout,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mlp512x1,deterministic,2,val,standard,,,standard,standard,mlp512x1|deterministic|s2|val|standard,0.075,0.075,0.05,bernoulli_dropout,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
mlp512x1,deterministic,3,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|deterministic|s3|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,bernoulli_dropout,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mlp512x1,deterministic,3,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|deterministic|s3|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,bernoulli_dropout,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
mlp512x1,deterministic,3,val,standard,,,standard,standard,mlp512x1|deterministic|s3|val|standard,0.075,0.075,0.05,bernoulli_dropout,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mlp512x1,deterministic,3,val,standard,,,standard,standard,mlp512x1|deterministic|s3|val|standard,0.075,0.075,0.05,bernoulli_dropout,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
mlp512x1,deterministic,4,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|deterministic|s4|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,bernoulli_dropout,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mlp512x1,deterministic,4,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|deterministic|s4|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,bernoulli_dropout,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
mlp512x1,deterministic,4,val,standard,,,standard,standard,mlp512x1|deterministic|s4|val|standard,0.075,0.075,0.05,bernoulli_dropout,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mlp512x1,deterministic,4,val,standard,,,standard,standard,mlp512x1|deterministic|s4|val|standard,0.075,0.075,0.05,bernoulli_dropout,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
mlp512x1,mc_dropout,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|mc_dropout|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,bernoulli_dropout,0,0.0,0.0,0.0,0.0,0.0,0.4,0.816496580927726,False
mlp512x1,mc_dropout,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|mc_dropout|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,bernoulli_dropout,1,0.14041200280189514,0.0029113751370459795,1.457191824913025,0.0,0.816496580927726,0.4,0.816496580927726,True
mlp512x1,mc_dropout,0,val,standard,,,standard,standard,mlp512x1|mc_dropout|s0|val|standard,0.075,0.075,0.05,bernoulli_dropout,0,0.0,0.0,0.0,0.0,0.0,0.4,0.816496580927726,False
mlp512x1,mc_dropout,0,val,standard,,,standard,standard,mlp512x1|mc_dropout|s0|val|standard,0.075,0.075,0.05,bernoulli_dropout,1,0.1387718915939331,0.1020141988992691,0.7359419465065002,0.0,0.816496580927726,0.4,0.816496580927726,True
mlp512x1,mc_dropout,1,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|mc_dropout|s1|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,bernoulli_dropout,0,0.0,0.0,0.0,0.0,0.0,0.4,0.816496580927726,False
mlp512x1,mc_dropout,1,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|mc_dropout|s1|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,bernoulli_dropout,1,0.1393158733844757,0.0026931054890155792,1.4614464044570923,0.0,0.816496580927726,0.4,0.816496580927726,True
mlp512x1,mc_dropout,1,val,standard,,,standard,standard,mlp512x1|mc_dropout|s1|val|standard,0.075,0.075,0.05,bernoulli_dropout,0,0.0,0.0,0.0,0.0,0.0,0.4,0.816496580927726,False
mlp512x1,mc_dropout,1,val,standard,,,standard,standard,mlp512x1|mc_dropout|s1|val|standard,0.075,0.075,0.05,bernoulli_dropout,1,0.13966244459152222,0.10383060574531555,0.7350780367851257,0.0,0.816496580927726,0.4,0.816496580927726,True
mlp512x1,mc_dropout,2,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|mc_dropout|s2|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,bernoulli_dropout,0,0.0,0.0,0.0,0.0,0.0,0.4,0.816496580927726,False
mlp512x1,mc_dropout,2,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|mc_dropout|s2|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,bernoulli_dropout,1,0.13940544426441193,0.0027994061820209026,1.501650094985962,0.0,0.816496580927726,0.4,0.816496580927726,True
mlp512x1,mc_dropout,2,val,standard,,,standard,standard,mlp512x1|mc_dropout|s2|val|standard,0.075,0.075,0.05,bernoulli_dropout,0,0.0,0.0,0.0,0.0,0.0,0.4,0.816496580927726,False
mlp512x1,mc_dropout,2,val,standard,,,standard,standard,mlp512x1|mc_dropout|s2|val|standard,0.075,0.075,0.05,bernoulli_dropout,1,0.13939303159713745,0.10268981754779816,0.733442485332489,0.0,0.816496580927726,0.4,0.816496580927726,True
mlp512x1,mc_dropout,3,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|mc_dropout|s3|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,bernoulli_dropout,0,0.0,0.0,0.0,0.0,0.0,0.4,0.816496580927726,False
mlp512x1,mc_dropout,3,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|mc_dropout|s3|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,bernoulli_dropout,1,0.1400337517261505,0.0029642474837601185,1.4760165214538574,0.0,0.816496580927726,0.4,0.816496580927726,True
mlp512x1,mc_dropout,3,val,standard,,,standard,standard,mlp512x1|mc_dropout|s3|val|standard,0.075,0.075,0.05,bernoulli_dropout,0,0.0,0.0,0.0,0.0,0.0,0.4,0.816496580927726,False
mlp512x1,mc_dropout,3,val,standard,,,standard,standard,mlp512x1|mc_dropout|s3|val|standard,0.075,0.075,0.05,bernoulli_dropout,1,0.13846035301685333,0.10432222485542297,0.8086676001548767,0.0,0.816496580927726,0.4,0.816496580927726,True
mlp512x1,mc_dropout,4,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|mc_dropout|s4|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,bernoulli_dropout,0,0.0,0.0,0.0,0.0,0.0,0.4,0.816496580927726,False
mlp512x1,mc_dropout,4,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|mc_dropout|s4|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,bernoulli_dropout,1,0.1399887353181839,0.003001718083396554,1.5654304027557373,0.0,0.816496580927726,0.4,0.816496580927726,True
mlp512x1,mc_dropout,4,val,standard,,,standard,standard,mlp512x1|mc_dropout|s4|val|standard,0.075,0.075,0.05,bernoulli_dropout,0,0.0,0.0,0.0,0.0,0.0,0.4,0.816496580927726,False
mlp512x1,mc_dropout,4,val,standard,,,standard,standard,mlp512x1|mc_dropout|s4|val|standard,0.075,0.075,0.05,bernoulli_dropout,1,0.14021529257297516,0.1042548343539238,0.724088728427887,0.0,0.816496580927726,0.4,0.816496580927726,True
mlp512x1,vogn,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|vogn|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,gaussian,0,0.1983126848936081,0.19994325935840607,0.1999976933002472,0.19145400822162628,10.02331829071045,,,
mlp512x1,vogn,0,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|vogn|s0|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,gaussian,1,0.18805024027824402,0.19763055443763733,0.19974234700202942,0.035150088369846344,19.22127342224121,,,
mlp512x1,vogn,0,val,standard,,,standard,standard,mlp512x1|vogn|s0|val|standard,0.075,0.075,0.05,gaussian,0,0.19619791209697723,0.19946138560771942,0.20000000298023224,0.1750805377960205,680043.125,,,
mlp512x1,vogn,0,val,standard,,,standard,standard,mlp512x1|vogn|s0|val|standard,0.075,0.075,0.05,gaussian,1,0.1403019279241562,0.15717026591300964,0.19262686371803284,0.04999852553009987,22.389957427978516,,,
mlp512x1,vogn,1,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|vogn|s1|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,gaussian,0,0.19839316606521606,0.1999453455209732,0.19999724626541138,0.1920112818479538,9.947807312011719,,,
mlp512x1,vogn,1,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|vogn|s1|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,gaussian,1,0.18963293731212616,0.1976732611656189,0.19964531064033508,0.035657357424497604,19.918058395385742,,,
mlp512x1,vogn,1,val,standard,,,standard,standard,mlp512x1|vogn|s1|val|standard,0.075,0.075,0.05,gaussian,0,0.1961759775876999,0.19946831464767456,0.20000000298023224,0.1748732477426529,1009021.0625,,,
mlp512x1,vogn,1,val,standard,,,standard,standard,mlp512x1|vogn|s1|val|standard,0.075,0.075,0.05,gaussian,1,0.13894745707511902,0.15566042065620422,0.194980651140213,0.0496993325650692,20.892131805419922,,,
mlp512x1,vogn,2,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|vogn|s2|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,gaussian,0,0.19824180006980896,0.19994518160820007,0.19999681413173676,0.1913261115550995,10.260764122009277,,,
mlp512x1,vogn,2,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|vogn|s2|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,gaussian,1,0.18902340531349182,0.19773662090301514,0.19964872300624847,0.036048296838998795,20.425811767578125,,,
mlp512x1,vogn,2,val,standard,,,standard,standard,mlp512x1|vogn|s2|val|standard,0.075,0.075,0.05,gaussian,0,0.19619852304458618,0.19946768879890442,0.20000000298023224,0.17504844069480896,966805.625,,,
mlp512x1,vogn,2,val,standard,,,standard,standard,mlp512x1|vogn|s2|val|standard,0.075,0.075,0.05,gaussian,1,0.14025641977787018,0.15677890181541443,0.19160470366477966,0.04980345070362091,28.023273468017578,,,
mlp512x1,vogn,3,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|vogn|s3|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,gaussian,0,0.19831791520118713,0.19994387030601501,0.19999681413173676,0.19144628942012787,9.837106704711914,,,
mlp512x1,vogn,3,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|vogn|s3|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,gaussian,1,0.18928031623363495,0.19766876101493835,0.1996595561504364,0.035628583282232285,15.864392280578613,,,
mlp512x1,vogn,3,val,standard,,,standard,standard,mlp512x1|vogn|s3|val|standard,0.075,0.075,0.05,gaussian,0,0.19625818729400635,0.19946561753749847,0.20000000298023224,0.17544987797737122,843411.6875,,,
mlp512x1,vogn,3,val,standard,,,standard,standard,mlp512x1|vogn|s3|val|standard,0.075,0.075,0.05,gaussian,1,0.1405932605266571,0.156091570854187,0.1936744600534439,0.05001009628176689,18.787368774414062,,,
mlp512x1,vogn,4,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|vogn|s4|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,gaussian,0,0.1983032375574112,0.19994361698627472,0.19999665021896362,0.19137383997440338,9.8304443359375,,,
mlp512x1,vogn,4,val,robust,0.08,0.25,robust_eps0p08_lam0p25,"robust ($\epsilon_{train}=0.08$, $\lambda=0.25$)",mlp512x1|vogn|s4|val|robust_eps0p08_lam0p25,0.075,0.075,0.05,gaussian,1,0.1885661780834198,0.1976727694272995,0.19965888559818268,0.03580678626894951,14.932615280151367,,,
mlp512x1,vogn,4,val,standard,,,standard,standard,mlp512x1|vogn|s4|val|standard,0.075,0.075,0.05,gaussian,0,0.19623959064483643,0.19947533309459686,0.20000000298023224,0.17530593276023865,849634.375,,,
mlp512x1,vogn,4,val,standard,,,standard,standard,mlp512x1|vogn|s4|val|standard,0.075,0.075,0.05,gaussian,1,0.13978330790996552,0.1557915359735489,0.19340448081493378,0.04995078966021538,32.964012145996094,,,
