file,architecture,family,seed,eval_split,eval_inputs,certification_inputs,mc_samples,pgd_enabled,certification_enabled,train_epsilon,rob_lam,robust_config_id,cert_theta,cert_gamma,cert_alpha
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,2000,50,50,1,1,0.08,0.25,robust_eps0p08_lam0p25,0.075,0.075,0.05
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,2000,50,50,1,1,0.08,0.25,robust_eps0p08_lam0p25,0.075,0.075,0.05
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed2_eps0p08_lam0p25.json,mlp512x1,bbb,2,val,2000,50,50,1,1,0.08,0.25,robust_eps0p08_lam0p25,0.075,0.075,0.05
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed3_eps0p08_lam0p25.json,mlp512x1,bbb,3,val,2000,50,50,1,1,0.08,0.25,robust_eps0p08_lam0p25,0.075,0.075,0.05
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed4_eps0p08_lam0p25.json,mlp512x1,bbb,4,val,2000,50,50,1,1,0.08,0.25,robust_eps0p08_lam0p25,0.075,0.075,0.05
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/deterministic/seed0_eps0p08_lam0p25.json,mlp512x1,deterministic,0,val,2000,50,50,1,1,0.08,0.25,robust_eps0p08_lam0p25,0.075,0.075,0.05
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/deterministic/seed1_eps0p08_lam0p25.json,mlp512x1,deterministic,1,val,2000,50,50,1,1,0.08,0.25,robust_eps0p08_lam0p25,0.075,0.075,0.05
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/deterministic/seed2_eps0p08_lam0p25.json,mlp512x1,deterministic,2,val,2000,50,50,1,1,0.08,0.25,robust_eps0p08_lam0p25,0.075,0.075,0.05
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/deterministic/seed3_eps0p08_lam0p25.json,mlp512x1,deterministic,3,val,2000,50,50,1,1,0.08,0.25,robust_eps0p08_lam0p25,0.075,0.075,0.05
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/deterministic/seed4_eps0p08_lam0p25.json,mlp512x1,deterministic,4,val,2000,50,50,1,1,0.08,0.25,robust_eps0p08_lam0p25,0.075,0.075,0.05
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed0_eps0p08_lam0p25.json,mlp512x1,mc_dropout,0,val,2000,50,50,1,1,0.08,0.25,robust_eps0p08_lam0p25,0.075,0.075,0.05
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed1_eps0p08_lam0p25.json,mlp512x1,mc_dropout,1,val,2000,50,50,1,1,0.08,0.25,robust_eps0p08_lam0p25,0.075,0.075,0.05
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed2_eps0p08_lam0p25.json,mlp512x1,mc_dropout,2,val,2000,50,50,1,1,0.08,0.25,robust_eps0p08_lam0p25,0.075,0.075,0.05
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed3_eps0p08_lam0p25.json,mlp512x1,mc_dropout,3,val,2000,50,50,1,1,0.08,0.25,robust_eps0p08_lam0p25,0.075,0.075,0.05
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed4_eps0p08_lam0p25.json,mlp512x1,mc_dropout,4,val,2000,50,50,1,1,0.08,0.25,robust_eps0p08_lam0p25,0.075,0.075,0.05
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/vogn/seed0_eps0p08_lam0p25.json,mlp512x1,vogn,0,val,2000,50,50,1,1,0.08,0.25,robust_eps0p08_lam0p25,0.075,0.075,0.05
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/vogn/seed1_eps0p08_lam0p25.json,mlp512x1,vogn,1,val,2000,50,50,1,1,0.08,0.25,robust_eps0p08_lam0p25,0.075,0.075,0.05
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/vogn/seed2_eps0p08_lam0p25.json,mlp512x1,vogn,2,val,2000,50,50,1,1,0.08,0.25,robust_eps0p08_lam0p25,0.075,0.075,0.05
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/vogn/seed3_eps0p08_lam0p25.json,mlp512x1,vogn,3,val,2000,50,50,1,1,0.08,0.25,robust_eps0p08_lam0p25,0.075,0.075,0.05
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/vogn/seed4_eps0p08_lam0p25.json,mlp512x1,vogn,4,val,2000,50,50,1,1,0.08,0.25,robust_eps0p08_lam0p25,0.075,0.075,0.05
