family,condition,seed,train_eps,rob_lam,eval_split,run_file,eps,n_inputs,mean_p_safe_lower,mean_p_safe_upper,mean_interval_width,frac_p_safe_lower_geq_0p5,mean_p_safe_point,median_p_safe_point,frac_p_safe_point_geq_0p9,mean_unknown_frac,mean_property_evaluations,mean_net_frac_safe,mean_net_frac_unsafe
bbb,standard,0,,,test,seed0_eps0p08_lam0p25.json,0.01,50,0.8507234886082233,0.9896780821917808,0.13895459358355744,0.94,0.9257234886082234,1.0,0.82,0.05964353129356006,132.34,0.98,0.02
bbb,standard,0,,,test,seed0_eps0p08_lam0p25.json,0.05,50,0.0,0.47716509566535875,0.47716509566535875,0.0,0.0,0.0,0.0,0.41958762886597945,171.08,0.16,0.12
bbb,standard,0,,,test,seed0_eps0p08_lam0p25.json,0.07,50,0.0,0.19710084369968311,0.19710084369968311,0.0,0.0,0.0,0.0,0.12515463917525774,151.14,0.0,0.36
bbb,standard,0,,,test,seed0_eps0p08_lam0p25.json,0.08,50,0.0,0.12458520598504416,0.12458520598504416,0.0,0.0,0.0,0.0,0.0490721649484536,125.3,0.0,0.44
bbb,standard,0,,,test,seed0_eps0p08_lam0p25.json,0.1,50,0.0,0.08492801660950132,0.08492801660950132,0.0,0.0,0.0,0.0,0.007628865979381442,104.66,0.0,0.72
bbb,robust,0,0.08,0.25,test,seed0_eps0p08_lam0p25.json,0.01,50,0.9249999999999998,1.0,0.07499999999999997,1.0,1.0,1.0,1.0,0.0,94.0,1.0,0.0
bbb,robust,0,0.08,0.25,test,seed0_eps0p08_lam0p25.json,0.05,50,0.8506077235772357,0.9378493150684932,0.08724159149125735,0.92,0.9211077235772358,1.0,0.92,0.010308943089430896,99.54,0.94,0.06
bbb,robust,0,0.08,0.25,test,seed0_eps0p08_lam0p25.json,0.07,50,0.8063907450718341,0.9269467455621302,0.12055600049029586,0.88,0.8738907450718344,1.0,0.86,0.04638463976081647,104.38,0.9,0.08
bbb,robust,0,0.08,0.25,test,seed0_eps0p08_lam0p25.json,0.08,50,0.7433233630765363,0.8989024035325406,0.1555790404560041,0.8,0.8063233630765364,1.0,0.78,0.08336735857294815,115.04,0.86,0.08
bbb,robust,0,0.08,0.25,test,seed0_eps0p08_lam0p25.json,0.1,50,0.5413603975146252,0.8406231372455096,0.2992627397308844,0.6,0.5904473093699776,0.9827586206896552,0.54,0.23140836073311521,138.28,0.7,0.18
bbb,standard,1,,,test,seed1_eps0p08_lam0p25.json,0.01,50,0.8551654264660568,0.9932739726027399,0.13810854613668297,0.94,0.9293320931327235,1.0,0.82,0.059541879470016316,134.8,1.0,0.0
bbb,standard,1,,,test,seed1_eps0p08_lam0p25.json,0.05,50,0.0,0.4825393261151303,0.4825393261151303,0.0,0.0,0.0,0.0,0.42577319587628865,171.68,0.12,0.12
bbb,standard,1,,,test,seed1_eps0p08_lam0p25.json,0.07,50,0.0,0.21994022710622668,0.21994022710622668,0.0,0.0,0.0,0.0,0.14804123711340206,135.68,0.0,0.36
bbb,standard,1,,,test,seed1_eps0p08_lam0p25.json,0.08,50,0.0,0.15423868251810122,0.15423868251810122,0.0,0.0,0.0,0.0,0.07876288659793813,129.68,0.0,0.48
bbb,standard,1,,,test,seed1_eps0p08_lam0p25.json,0.1,50,0.0,0.08186827953794357,0.08186827953794357,0.0,0.0,0.0,0.0,0.007422680412371135,105.02,0.0,0.74
bbb,robust,1,0.08,0.25,test,seed1_eps0p08_lam0p25.json,0.01,50,0.9249999999999998,1.0,0.07499999999999997,1.0,1.0,1.0,1.0,0.0,94.0,1.0,0.0
bbb,robust,1,0.08,0.25,test,seed1_eps0p08_lam0p25.json,0.05,50,0.8508165137614678,0.9936917808219178,0.1428752670604499,0.92,0.9201390944066291,1.0,0.92,0.07060026604589291,98.68,0.94,0.0
bbb,robust,1,0.08,0.25,test,seed1_eps0p08_lam0p25.json,0.07,50,0.7600449826989617,0.9307526156833135,0.17070763298435154,0.82,0.8233989649998469,1.0,0.82,0.10186150393546922,109.64,0.9,0.08
bbb,robust,1,0.08,0.25,test,seed1_eps0p08_lam0p25.json,0.08,50,0.7244046556543191,0.9049375337236362,0.18053287806931703,0.78,0.7859046556543191,1.0,0.74,0.10770359176836136,126.42,0.82,0.1
bbb,robust,1,0.08,0.25,test,seed1_eps0p08_lam0p25.json,0.1,50,0.5683459044413119,0.8531535605275664,0.28480765608625447,0.62,0.618616246280503,1.0,0.56,0.21994045475042476,129.02,0.74,0.16
bbb,standard,2,,,test,seed2_eps0p08_lam0p25.json,0.01,50,0.8562920459361721,0.9867559732398854,0.13046392730371317,0.92,0.9297920459361722,1.0,0.86,0.052545944134765286,124.48,0.98,0.0
bbb,standard,2,,,test,seed2_eps0p08_lam0p25.json,0.05,50,0.0,0.5041146338856977,0.5041146338856977,0.0,0.0,0.0,0.0,0.4418556701030928,173.92,0.16,0.1
bbb,standard,2,,,test,seed2_eps0p08_lam0p25.json,0.07,50,0.0,0.18783884265447207,0.18783884265447207,0.0,0.0,0.0,0.0,0.10907216494845359,151.16,0.0,0.32
bbb,standard,2,,,test,seed2_eps0p08_lam0p25.json,0.08,50,0.0,0.11339632733415902,0.11339632733415902,0.0,0.0,0.0,0.0,0.03402061855670103,124.14,0.0,0.42
bbb,standard,2,,,test,seed2_eps0p08_lam0p25.json,0.1,50,0.0,0.07517699115044245,0.07517699115044245,0.0,0.0,0.0,0.0,0.00020618556701030926,97.32,0.0,0.72
