family,condition,seed,train_eps,rob_lam,pgd_accuracy_auc,nll_auc,brier_auc,ece_auc,subset_accuracy_auc,attack_success_auc
bbb,robust,0,0.08,0.25,0.8281366666666667,0.7607905757923921,0.2720751497894525,0.09032608121946453,0.832857142857143,0.16714285714285715
bbb,robust,1,0.08,0.25,0.8223233333333334,0.7789763698975244,0.27974584040542444,0.09983962482015293,0.822857142857143,0.17714285714285713
bbb,robust,2,0.08,0.25,0.8228933333333333,0.7789190476139386,0.2801008346180121,0.09611174849674103,0.8364285714285716,0.16357142857142856
bbb,robust,3,0.08,0.25,0.8228966666666667,0.7786983191967011,0.27972740630308784,0.09607078133746982,0.82,0.18
bbb,robust,4,0.08,0.25,0.8246666666666665,0.7879302119215329,0.27830509903530276,0.09456991990715265,0.8357142857142857,0.16428571428571428
bbb,standard,0,,,0.5833200000000001,2.046166511749228,0.7013122712572415,0.3193026412400603,0.5214285714285716,0.47857142857142854
bbb,standard,1,,,0.5780000000000001,2.1264006466915206,0.7170242149382828,0.3282994304300348,0.5435714285714286,0.45642857142857135
bbb,standard,2,,,0.5745966666666668,2.1241073099275427,0.7212540686130523,0.3291625161825617,0.5435714285714286,0.45642857142857135
bbb,standard,3,,,0.5773833333333332,2.1678314515699943,0.7188470150033632,0.3292201462701956,0.5692857142857144,0.4307142857142857
bbb,standard,4,,,0.5767833333333332,2.168324217696984,0.7178395015498001,0.32722293928702667,0.5364285714285715,0.4635714285714285
deterministic,robust,0,0.08,0.25,0.87737,0.5767607284088929,0.1933409928033749,0.06132834455390773,0.8857142857142857,0.11428571428571427
deterministic,robust,1,0.08,0.25,0.88015,0.5728668975333372,0.19060775954276324,0.05797063436289629,0.8942857142857142,0.1057142857142857
deterministic,robust,2,0.08,0.25,0.8821099999999998,0.5653915554285049,0.18738668678949277,0.05288587662701807,0.882857142857143,0.11714285714285715
deterministic,robust,3,0.08,0.25,0.8738799999999999,0.592714862525463,0.20012867314120134,0.06607454204907019,0.8764285714285714,0.12357142857142858
deterministic,robust,4,0.08,0.25,0.87613,0.5824140278001626,0.19544011478622753,0.0628226948411266,0.8850000000000001,0.11499999999999999
deterministic,standard,0,,,0.36984333333333336,9.965587794284025,1.219049952737987,0.6022136734570066,0.3107142857142857,0.6892857142857144
deterministic,standard,1,,,0.36660000000000004,9.342825675755739,1.2216525752097367,0.6027500550722081,0.30571428571428566,0.6942857142857143
deterministic,standard,2,,,0.3794666666666667,8.286011579632758,1.1876855590691169,0.5849301486414671,0.31000000000000005,0.6900000000000001
deterministic,standard,3,,,0.37195,10.034311539679765,1.2166159008940058,0.6013440053493778,0.3107142857142857,0.6892857142857143
deterministic,standard,4,,,0.37842333333333333,9.71194276784857,1.201150170279046,0.5932114654045303,0.31000000000000005,0.6900000000000001
mc_dropout,robust,0,0.08,0.25,0.86577,0.4867305452624956,0.20244101931651434,0.036201875372479354,0.8685714285714285,0.13142857142857145
mc_dropout,robust,1,0.08,0.25,0.8577266666666665,0.5050805975993474,0.21367925480008124,0.04332913966327906,0.8542857142857143,0.1457142857142857
mc_dropout,robust,2,0.08,0.25,0.8636633333333332,0.4915010251104831,0.20595210442940393,0.039588266994555775,0.8807142857142858,0.1192857142857143
mc_dropout,robust,3,0.08,0.25,0.8668733333333333,0.4839959591627121,0.2029575077195962,0.03707519502232471,0.8885714285714287,0.11142857142857143
mc_dropout,robust,4,0.08,0.25,0.85494,0.5014218712846438,0.2140658728778362,0.046182700853347775,0.8714285714285714,0.1285714285714286
mc_dropout,standard,0,,,0.4188166666666667,5.267782834296425,1.049176403072973,0.49994694084952274,0.37928571428571434,0.6207142857142857
mc_dropout,standard,1,,,0.3963966666666667,5.788613940775394,1.0935136983791987,0.5228421138602495,0.3385714285714286,0.6614285714285715
mc_dropout,standard,2,,,0.40177666666666667,5.72248076138397,1.0848198446755608,0.517717849437495,0.33071428571428574,0.6692857142857143
mc_dropout,standard,3,,,0.42252999999999996,5.328964850182334,1.0454703922693929,0.4987949334377049,0.39071428571428574,0.6092857142857142
mc_dropout,standard,4,,,0.41091,5.3990107240776215,1.0661092111840844,0.5087709282086293,0.35000000000000003,0.65
vogn,robust,0,0.08,0.25,0.68522,1.2762345413366953,0.4823277389009793,0.1479372623474896,0.6885714285714285,0.28273809523809523
vogn,robust,1,0.08,0.25,0.6892433333333334,1.2945078720649084,0.4803762649496396,0.1615241801425318,0.6714285714285714,0.314868804664723
vogn,robust,2,0.08,0.25,0.6819233333333333,1.314849532643954,0.4897526341180007,0.17035027448485296,0.6550000000000001,0.28804347826086957
vogn,robust,3,0.08,0.25,0.6915066666666667,1.2669014394283293,0.47661031534274423,0.1587004393556217,0.6564285714285714,0.3162202380952381
vogn,robust,4,0.08,0.25,0.6766966666666667,1.3328127284844715,0.496049989759922,0.16923373642226058,0.6785714285714286,0.3075801749271137
vogn,standard,0,,,0.7103066666666668,0.8485899999737738,0.40826499536633487,0.12381193868622183,0.7078571428571429,0.27769679300291544
vogn,standard,1,,,0.68261,0.9499446501334508,0.45023936132589976,0.14408318255801994,0.6914285714285715,0.2944606413994169
vogn,standard,2,,,0.7009666666666666,0.875583060334126,0.41932464912533757,0.13075339778155085,0.7071428571428571,0.29285714285714287
vogn,standard,3,,,0.6807066666666667,0.9433637000620365,0.45253482684493057,0.15067603538155555,0.687142857142857,0.29883381924198255
vogn,standard,4,,,0.6906033333333333,0.9023519590497017,0.4349130949626366,0.1414852300311625,0.7014285714285716,0.29857142857142854
