family,condition,seed,train_eps,rob_lam,eps,score,variant,coverage,selective_risk,n_retained
bbb,robust,0,0.08,0.25,0.01,mutual_information,clean,0.1,0.0,5
bbb,robust,0,0.08,0.25,0.01,mutual_information,clean,0.2,0.0,10
bbb,robust,0,0.08,0.25,0.01,mutual_information,clean,0.3,0.0,15
bbb,robust,0,0.08,0.25,0.01,mutual_information,clean,0.4,0.0,20
bbb,robust,0,0.08,0.25,0.01,mutual_information,clean,0.5,0.0,25
bbb,robust,0,0.08,0.25,0.01,mutual_information,clean,0.6,0.0,30
bbb,robust,0,0.08,0.25,0.01,mutual_information,clean,0.7,0.0,35
bbb,robust,0,0.08,0.25,0.01,mutual_information,clean,0.8,0.0,40
bbb,robust,0,0.08,0.25,0.01,mutual_information,clean,0.9,0.0,45
bbb,robust,0,0.08,0.25,0.01,mutual_information,clean,1.0,0.0,50
bbb,robust,0,0.08,0.25,0.01,mutual_information,adv,0.1,0.0,5
bbb,robust,0,0.08,0.25,0.01,mutual_information,adv,0.2,0.0,10
bbb,robust,0,0.08,0.25,0.01,mutual_information,adv,0.3,0.0,15
bbb,robust,0,0.08,0.25,0.01,mutual_information,adv,0.4,0.0,20
bbb,robust,0,0.08,0.25,0.01,mutual_information,adv,0.5,0.0,25
bbb,robust,0,0.08,0.25,0.01,mutual_information,adv,0.6,0.0,30
bbb,robust,0,0.08,0.25,0.01,mutual_information,adv,0.7,0.0,35
bbb,robust,0,0.08,0.25,0.01,mutual_information,adv,0.8,0.0,40
bbb,robust,0,0.08,0.25,0.01,mutual_information,adv,0.9,0.0,45
bbb,robust,0,0.08,0.25,0.01,mutual_information,adv,1.0,0.0,50
bbb,robust,0,0.08,0.25,0.01,mutual_information,delta,0.1,0.0,5
bbb,robust,0,0.08,0.25,0.01,mutual_information,delta,0.2,0.0,10
bbb,robust,0,0.08,0.25,0.01,mutual_information,delta,0.3,0.0,15
bbb,robust,0,0.08,0.25,0.01,mutual_information,delta,0.4,0.0,20
bbb,robust,0,0.08,0.25,0.01,mutual_information,delta,0.5,0.0,25
bbb,robust,0,0.08,0.25,0.01,mutual_information,delta,0.6,0.0,30
bbb,robust,0,0.08,0.25,0.01,mutual_information,delta,0.7,0.0,35
bbb,robust,0,0.08,0.25,0.01,mutual_information,delta,0.8,0.0,40
bbb,robust,0,0.08,0.25,0.01,mutual_information,delta,0.9,0.0,45
bbb,robust,0,0.08,0.25,0.01,mutual_information,delta,1.0,0.0,50
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,clean,0.1,0.0,5
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,clean,0.2,0.0,10
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,clean,0.3,0.0,15
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,clean,0.4,0.0,20
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,clean,0.5,0.0,25
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,clean,0.6,0.0,30
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,clean,0.7,0.0,35
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,clean,0.8,0.0,40
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,clean,0.9,0.0,45
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,clean,1.0,0.0,50
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,adv,0.1,0.0,5
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,adv,0.2,0.0,10
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,adv,0.3,0.0,15
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,adv,0.4,0.0,20
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,adv,0.5,0.0,25
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,adv,0.6,0.0,30
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,adv,0.7,0.0,35
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,adv,0.8,0.0,40
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,adv,0.9,0.0,45
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,adv,1.0,0.0,50
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,delta,0.1,0.0,5
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,delta,0.2,0.0,10
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,delta,0.3,0.0,15
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,delta,0.4,0.0,20
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,delta,0.5,0.0,25
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,delta,0.6,0.0,30
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,delta,0.7,0.0,35
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,delta,0.8,0.0,40
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,delta,0.9,0.0,45
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,delta,1.0,0.0,50
bbb,robust,0,0.08,0.25,0.03,mutual_information,clean,0.1,0.0,5
bbb,robust,0,0.08,0.25,0.03,mutual_information,clean,0.2,0.0,10
bbb,robust,0,0.08,0.25,0.03,mutual_information,clean,0.3,0.0,15
bbb,robust,0,0.08,0.25,0.03,mutual_information,clean,0.4,0.0,20
bbb,robust,0,0.08,0.25,0.03,mutual_information,clean,0.5,0.0,25
bbb,robust,0,0.08,0.25,0.03,mutual_information,clean,0.6,0.0,30
bbb,robust,0,0.08,0.25,0.03,mutual_information,clean,0.7,0.0,35
bbb,robust,0,0.08,0.25,0.03,mutual_information,clean,0.8,0.0,40
bbb,robust,0,0.08,0.25,0.03,mutual_information,clean,0.9,0.0,45
bbb,robust,0,0.08,0.25,0.03,mutual_information,clean,1.0,0.0,50
bbb,robust,0,0.08,0.25,0.03,mutual_information,adv,0.1,0.0,5
bbb,robust,0,0.08,0.25,0.03,mutual_information,adv,0.2,0.0,10
bbb,robust,0,0.08,0.25,0.03,mutual_information,adv,0.3,0.0,15
bbb,robust,0,0.08,0.25,0.03,mutual_information,adv,0.4,0.0,20
bbb,robust,0,0.08,0.25,0.03,mutual_information,adv,0.5,0.0,25
bbb,robust,0,0.08,0.25,0.03,mutual_information,adv,0.6,0.0,30
bbb,robust,0,0.08,0.25,0.03,mutual_information,adv,0.7,0.0,35
bbb,robust,0,0.08,0.25,0.03,mutual_information,adv,0.8,0.0,40
bbb,robust,0,0.08,0.25,0.03,mutual_information,adv,0.9,0.0,45
bbb,robust,0,0.08,0.25,0.03,mutual_information,adv,1.0,0.0,50
bbb,robust,0,0.08,0.25,0.03,mutual_information,delta,0.1,0.0,5
bbb,robust,0,0.08,0.25,0.03,mutual_information,delta,0.2,0.0,10
bbb,robust,0,0.08,0.25,0.03,mutual_information,delta,0.3,0.0,15
bbb,robust,0,0.08,0.25,0.03,mutual_information,delta,0.4,0.0,20
bbb,robust,0,0.08,0.25,0.03,mutual_information,delta,0.5,0.0,25
bbb,robust,0,0.08,0.25,0.03,mutual_information,delta,0.6,0.0,30
bbb,robust,0,0.08,0.25,0.03,mutual_information,delta,0.7,0.0,35
bbb,robust,0,0.08,0.25,0.03,mutual_information,delta,0.8,0.0,40
bbb,robust,0,0.08,0.25,0.03,mutual_information,delta,0.9,0.0,45
bbb,robust,0,0.08,0.25,0.03,mutual_information,delta,1.0,0.0,50
bbb,robust,0,0.08,0.25,0.03,one_minus_confidence,clean,0.1,0.0,5
bbb,robust,0,0.08,0.25,0.03,one_minus_confidence,clean,0.2,0.0,10
bbb,robust,0,0.08,0.25,0.03,one_minus_confidence,clean,0.3,0.0,15
bbb,robust,0,0.08,0.25,0.03,one_minus_confidence,clean,0.4,0.0,20
bbb,robust,0,0.08,0.25,0.03,one_minus_confidence,clean,0.5,0.0,25
bbb,robust,0,0.08,0.25,0.03,one_minus_confidence,clean,0.6,0.0,30
bbb,robust,0,0.08,0.25,0.03,one_minus_confidence,clean,0.7,0.0,35
bbb,robust,0,0.08,0.25,0.03,one_minus_confidence,clean,0.8,0.0,40
bbb,robust,0,0.08,0.25,0.03,one_minus_confidence,clean,0.9,0.0,45
bbb,robust,0,0.08,0.25,0.03,one_minus_confidence,clean,1.0,0.0,50
bbb,robust,0,0.08,0.25,0.03,one_minus_confidence,adv,0.1,0.0,5
bbb,robust,0,0.08,0.25,0.03,one_minus_confidence,adv,0.2,0.0,10
bbb,robust,0,0.08,0.25,0.03,one_minus_confidence,adv,0.3,0.0,15
bbb,robust,0,0.08,0.25,0.03,one_minus_confidence,adv,0.4,0.0,20
bbb,robust,0,0.08,0.25,0.03,one_minus_confidence,adv,0.5,0.0,25
bbb,robust,0,0.08,0.25,0.03,one_minus_confidence,adv,0.6,0.0,30
bbb,robust,0,0.08,0.25,0.03,one_minus_confidence,adv,0.7,0.0,35
bbb,robust,0,0.08,0.25,0.03,one_minus_confidence,adv,0.8,0.0,40
bbb,robust,0,0.08,0.25,0.03,one_minus_confidence,adv,0.9,0.0,45
bbb,robust,0,0.08,0.25,0.03,one_minus_confidence,adv,1.0,0.0,50
bbb,robust,0,0.08,0.25,0.03,one_minus_confidence,delta,0.1,0.0,5
bbb,robust,0,0.08,0.25,0.03,one_minus_confidence,delta,0.2,0.0,10
bbb,robust,0,0.08,0.25,0.03,one_minus_confidence,delta,0.3,0.0,15
bbb,robust,0,0.08,0.25,0.03,one_minus_confidence,delta,0.4,0.0,20
bbb,robust,0,0.08,0.25,0.03,one_minus_confidence,delta,0.5,0.0,25
bbb,robust,0,0.08,0.25,0.03,one_minus_confidence,delta,0.6,0.0,30
bbb,robust,0,0.08,0.25,0.03,one_minus_confidence,delta,0.7,0.0,35
bbb,robust,0,0.08,0.25,0.03,one_minus_confidence,delta,0.8,0.0,40
bbb,robust,0,0.08,0.25,0.03,one_minus_confidence,delta,0.9,0.0,45
bbb,robust,0,0.08,0.25,0.03,one_minus_confidence,delta,1.0,0.0,50
bbb,robust,0,0.08,0.25,0.05,mutual_information,clean,0.1,0.0,5
bbb,robust,0,0.08,0.25,0.05,mutual_information,clean,0.2,0.0,10
bbb,robust,0,0.08,0.25,0.05,mutual_information,clean,0.3,0.0,15
bbb,robust,0,0.08,0.25,0.05,mutual_information,clean,0.4,0.0,20
bbb,robust,0,0.08,0.25,0.05,mutual_information,clean,0.5,0.0,25
bbb,robust,0,0.08,0.25,0.05,mutual_information,clean,0.6,0.0,30
bbb,robust,0,0.08,0.25,0.05,mutual_information,clean,0.7,0.0,35
bbb,robust,0,0.08,0.25,0.05,mutual_information,clean,0.8,0.0,40
bbb,robust,0,0.08,0.25,0.05,mutual_information,clean,0.9,0.022222222222222223,45
bbb,robust,0,0.08,0.25,0.05,mutual_information,clean,1.0,0.06,50
bbb,robust,0,0.08,0.25,0.05,mutual_information,adv,0.1,0.0,5
bbb,robust,0,0.08,0.25,0.05,mutual_information,adv,0.2,0.0,10
bbb,robust,0,0.08,0.25,0.05,mutual_information,adv,0.3,0.0,15
bbb,robust,0,0.08,0.25,0.05,mutual_information,adv,0.4,0.0,20
bbb,robust,0,0.08,0.25,0.05,mutual_information,adv,0.5,0.0,25
bbb,robust,0,0.08,0.25,0.05,mutual_information,adv,0.6,0.0,30
bbb,robust,0,0.08,0.25,0.05,mutual_information,adv,0.7,0.0,35
bbb,robust,0,0.08,0.25,0.05,mutual_information,adv,0.8,0.0,40
bbb,robust,0,0.08,0.25,0.05,mutual_information,adv,0.9,0.0,45
bbb,robust,0,0.08,0.25,0.05,mutual_information,adv,1.0,0.06,50
bbb,robust,0,0.08,0.25,0.05,mutual_information,delta,0.1,0.0,5
bbb,robust,0,0.08,0.25,0.05,mutual_information,delta,0.2,0.0,10
bbb,robust,0,0.08,0.25,0.05,mutual_information,delta,0.3,0.0,15
bbb,robust,0,0.08,0.25,0.05,mutual_information,delta,0.4,0.0,20
bbb,robust,0,0.08,0.25,0.05,mutual_information,delta,0.5,0.0,25
bbb,robust,0,0.08,0.25,0.05,mutual_information,delta,0.6,0.0,30
bbb,robust,0,0.08,0.25,0.05,mutual_information,delta,0.7,0.0,35
bbb,robust,0,0.08,0.25,0.05,mutual_information,delta,0.8,0.0,40
bbb,robust,0,0.08,0.25,0.05,mutual_information,delta,0.9,0.0,45
