family,condition,seed,train_eps,rob_lam,eps,n_inputs,subset_accuracy_clean,subset_accuracy_adv,subset_misclassification_adv,attack_success_rate,n_clean_correct,subset_ece_clean,subset_ece_adv,mean_mutual_information_clean,mean_mutual_information_adv,mean_mutual_information_delta,delta_mutual_information_attack_success,delta_mutual_information_attack_failed,delta_mutual_information_success_gap,mean_one_minus_confidence_clean,mean_one_minus_confidence_adv,mean_one_minus_confidence_delta,delta_one_minus_confidence_attack_success,delta_one_minus_confidence_attack_failed,delta_one_minus_confidence_success_gap,n_inputs_cert,mean_p_safe_point,median_p_safe_point,mean_p_safe_optimistic,mean_p_safe_lower,mean_p_safe_upper,mean_interval_width,mean_ci_width,mean_unknown_frac,mean_property_evaluations,mean_net_frac_safe,mean_net_frac_unsafe,p_safe_q05,p_safe_q25,p_safe_q50,p_safe_q75,p_safe_q95,frac_robust_tau0.5,frac_below_tau0.5,frac_inconclusive_tau0.5,frac_robust_tau0.9,frac_below_tau0.9,frac_inconclusive_tau0.9,frac_robust_tau0.95,frac_below_tau0.95,frac_inconclusive_tau0.95
bbb,robust,0,0.08,0.25,0.01,50,1.0,1.0,0.0,0.0,50,0.0031860351562500444,0.006230299472808805,0.00015585767415645876,0.00040525715601479176,0.00024939948185833305,,0.00024939948185833305,,0.00318603515625,0.006230299472808838,0.003044264316558838,,0.003044264316558838,,50.0,1.0,1.0,1.0,0.9249999999999998,1.0,0.07499999999999997,0.03848335099752875,0.0,94.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
bbb,robust,0,0.08,0.25,0.03,50,1.0,1.0,0.0,0.0,50,0.0031860351562500444,0.02982552528381349,0.00015585767415645876,0.0016965855139431888,0.00154072783978673,,0.00154072783978673,,0.00318603515625,0.029825525283813478,0.026639490127563475,,0.026639490127563475,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbb,robust,0,0.08,0.25,0.05,50,1.0,0.94,0.06,0.06,50,0.0031860351562500444,0.059242080450058,0.00015585767415645876,0.0015004545134445913,0.0013445968392881325,0.010328767200311026,0.0007711391566696499,0.009557628043641376,0.00318603515625,0.02978070855140686,0.02659467339515686,0.1856702764829,0.016440911495939216,0.16922936498696078,50.0,0.9211077235772358,1.0,0.9318493150684932,0.8506077235772357,0.9378493150684932,0.08724159149125735,0.03995254403610866,0.010308943089430896,99.54,0.94,0.06,0.046875,1.0,1.0,1.0,1.0,0.92,0.06,0.019999999999999962,0.9,0.08,0.019999999999999976,0.0,0.08,0.92
bbb,robust,0,0.08,0.25,0.07,50,1.0,0.92,0.08,0.08,50,0.0031860351562500444,0.059064707756042494,0.00015585767415645876,0.0016599884395248664,0.0015041307653684078,0.00691623892635107,0.0010335126644133935,0.005882726261937677,0.00318603515625,0.04276968479156494,0.03958364963531494,0.1570318043231964,0.02937076661897742,0.127661037704219,50.0,0.8738907450718344,1.0,0.9205797730850659,0.8063907450718341,0.9269467455621302,0.12055600049029586,0.041419933700050364,0.04638463976081647,104.38,0.9,0.08,0.0,1.0,1.0,1.0,1.0,0.88,0.08,0.039999999999999994,0.84,0.08,0.08000000000000003,0.0,0.08,0.92
bbb,robust,0,0.08,0.25,0.08,50,1.0,0.92,0.08,0.08,50,0.0031860351562500444,0.10813472509384152,0.00015585767415645876,0.0022755636223274677,0.002119705948171009,0.005364324897527695,0.0018375651699660798,0.003526759727561615,0.00318603515625,0.0661152696609497,0.06292923450469971,0.15223412215709686,0.05516359210014343,0.09707053005695343,50.0,0.8063233630765364,1.0,0.8892127483601269,0.7433233630765363,0.8989024035325406,0.1555790404560041,0.04214170428355918,0.08336735857294815,115.04,0.86,0.08,0.0,1.0,1.0,1.0,1.0,0.8,0.12,0.07999999999999996,0.78,0.12,0.09999999999999998,0.0,0.12,0.88
bbb,robust,0,0.08,0.25,0.1,50,1.0,0.82,0.18,0.18,50,0.0031860351562500444,0.14534589231014253,0.00015585767415645876,0.0037668237364050583,0.0036109660622485997,0.006931210908738371,0.002882131827653284,0.004049079081085087,0.00318603515625,0.11692656099796295,0.11374052584171296,0.24219956331782871,0.08554220054207778,0.15665736277575093,50.0,0.5904473093699776,0.9827586206896552,0.8234334820730959,0.5413603975146252,0.8406231372455096,0.2992627397308844,0.04678269651986859,0.23140836073311521,138.28,0.7,0.18,0.0,0.0,0.9827586206896552,1.0,1.0,0.6,0.16,0.24000000000000002,0.5,0.2,0.3,0.0,0.2,0.8
bbb,robust,0,0.08,0.25,0.15,50,1.0,0.46,0.54,0.54,50,0.0031860351562500444,0.39580727279186256,0.00015585767415645876,0.0043752445187419655,0.004219386844585507,0.004696232655201561,0.0036596113277753556,0.0010366213274262057,0.00318603515625,0.2408721226453781,0.23768608748912812,0.2558033885779204,0.21641795142837192,0.03938543714954848,,,,,,,,,,,,,,,,,,,,,,,,,,
bbb,robust,1,0.08,0.25,0.01,50,1.0,1.0,0.0,0.0,50,0.001986997127532919,0.0034110546112060477,8.398472102199718e-05,0.00013680746955870875,5.282274853671158e-05,,5.282274853671158e-05,,0.001986997127532959,0.0034110546112060547,0.0014240574836730958,,0.0014240574836730958,,50.0,1.0,1.0,1.0,0.9249999999999998,1.0,0.07499999999999997,0.03848335099752875,0.0,94.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
bbb,robust,1,0.08,0.25,0.03,50,1.0,1.0,0.0,0.0,50,0.001986997127532919,0.010028328895568848,8.398472102199718e-05,0.0004429269791685186,0.00035894225814652147,,0.00035894225814652147,,0.001986997127532959,0.010028328895568848,0.008041331768035889,,0.008041331768035889,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbb,robust,1,0.08,0.25,0.05,50,1.0,1.0,0.0,0.0,50,0.001986997127532919,0.03560361385345462,8.398472102199718e-05,0.0017285330247733199,0.0016445483037513225,,0.0016445483037513225,,0.001986997127532959,0.03560361385345459,0.03361661672592163,,0.03361661672592163,,50.0,0.9201390944066291,1.0,0.9918248083448536,0.8508165137614678,0.9936917808219178,0.1428752670604499,0.038972239003743844,0.07060026604589291,98.68,0.94,0.0,0.007258064516129029,1.0,1.0,1.0,1.0,0.92,0.0,0.07999999999999996,0.92,0.02,0.059999999999999956,0.0,0.02,0.98
bbb,robust,1,0.08,0.25,0.07,50,1.0,0.9,0.1,0.1,50,0.001986997127532919,0.05389378547668459,8.398472102199718e-05,0.0029359948711027073,0.0028520101500807103,0.016586927301250397,0.0013259082443951892,0.015261019056855209,0.001986997127532959,0.07036596298217773,0.06837896585464477,0.38447037935256956,0.03325769768820869,0.35121268166436087,50.0,0.8233989649998469,1.0,0.9232526156833135,0.7600449826989617,0.9307526156833135,0.17070763298435154,0.03967993819627638,0.10186150393546922,109.64,0.9,0.08,0.0,1.0,1.0,1.0,1.0,0.82,0.06,0.12000000000000005,0.82,0.1,0.08000000000000004,0.0,0.1,0.9
bbb,robust,1,0.08,0.25,0.08,50,1.0,0.88,0.12,0.12,50,0.001986997127532919,0.08754594683647154,8.398472102199718e-05,0.002833486885429579,0.0027495021644075818,0.01341258049554502,0.0012954460283433858,0.012117134467201635,0.001986997127532959,0.06508089423179626,0.0630938971042633,0.23094182213147482,0.04020554369146174,0.1907362784400131,50.0,0.7859046556543191,1.0,0.8944375337236362,0.7244046556543191,0.9049375337236362,0.18053287806931703,0.04423539676060245,0.10770359176836136,126.42,0.82,0.1,0.0,0.9079702048417132,1.0,1.0,1.0,0.78,0.08,0.13999999999999996,0.7,0.14,0.16000000000000003,0.0,0.14,0.86
bbb,robust,1,0.08,0.25,0.1,50,1.0,0.8,0.2,0.2,50,0.001986997127532919,0.09932760953903198,8.398472102199718e-05,0.004764630578574724,0.004680645857552727,0.007193196365838084,0.004052508230481388,0.0031406881353566955,0.001986997127532959,0.10067239046096801,0.09868539333343505,0.2375235915184021,0.0639758437871933,0.1735477477312088,50.0,0.618616246280503,1.0,0.8382027833254938,0.5683459044413119,0.8531535605275664,0.28480765608625447,0.045071496763514185,0.21994045475042476,129.02,0.74,0.16,0.0,0.0,1.0,1.0,1.0,0.62,0.16,0.22,0.54,0.18,0.27999999999999997,0.0,0.18,0.8200000000000001
bbb,robust,1,0.08,0.25,0.15,50,1.0,0.42,0.58,0.58,50,0.001986997127532919,0.3805208373069764,8.398472102199718e-05,0.0043854990741238,0.004301514353101803,0.005000210983996017,0.00333664757710503,0.0016635634068909873,0.001986997127532959,0.19947916269302368,0.19749216556549073,0.25127512216567993,0.12322046359380086,0.1280546585718791,,,,,,,,,,,,,,,,,,,,,,,,,,
bbb,robust,2,0.08,0.25,0.01,50,1.0,1.0,0.0,0.0,50,0.003323547840118386,0.006952939033508266,0.0002019306770364093,0.00035626102485403763,0.0001543303478176284,,0.0001543303478176284,,0.003323547840118408,0.006952939033508301,0.0036293911933898927,,0.0036293911933898927,,50.0,1.0,1.0,1.0,0.9249999999999998,1.0,0.07499999999999997,0.03848335099752875,0.0,94.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
bbb,robust,2,0.08,0.25,0.03,50,1.0,1.0,0.0,0.0,50,0.003323547840118386,0.02561751604080203,0.0002019306770364093,0.0013267397083534872,0.0011248090313170777,,0.0011248090313170777,,0.003323547840118408,0.025617516040802,0.022293968200683592,,0.022293968200683592,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbb,robust,2,0.08,0.25,0.05,50,1.0,0.94,0.06,0.06,50,0.003323547840118386,0.053108887672424325,0.0002019306770364093,0.0017687985504136312,0.0015668678733772217,0.018314245156943798,0.0004978863446389297,0.017816358812304867,0.003323547840118408,0.028479933738708496,0.025156385898590088,0.21697678168614706,0.012912530848320494,0.20406425083782656,50.0,0.92,1.0,0.9403539823008851,0.851,0.9448539823008849,0.0938539823008849,0.03838993387042534,0.020412371134020616,94.88,0.94,0.06,0.0,1.0,1.0,1.0,1.0,0.92,0.06,0.019999999999999962,0.92,0.06,0.019999999999999962,0.0,0.06,0.94
bbb,robust,2,0.08,0.25,0.07,50,1.0,0.94,0.06,0.06,50,0.003323547840118386,0.0615769171714783,0.0002019306770364093,0.001746132549869106,0.0015442018728326968,0.0010358396296699841,0.0015766505266515932,-0.0005408108969816091,0.003323547840118408,0.04056849241256714,0.03724494457244873,0.03267077604929606,0.03753691277605422,-0.004866136726758161,50.0,0.8964318610762939,1.0,0.9361050228310502,0.8287548699258513,0.9424383561643837,0.11368348623853208,0.039857913383529106,0.03929663084962524,102.92,0.9,0.06,0.0,1.0,1.0,1.0,1.0,0.9,0.06,0.03999999999999998,0.88,0.08,0.039999999999999994,0.0,0.08,0.92
bbb,robust,2,0.08,0.25,0.08,50,1.0,0.94,0.06,0.06,50,0.003323547840118386,0.07831320047378539,0.0002019306770364093,0.002506376786165134,0.0023044461091287246,-0.0012330608442425728,0.0025302444253013615,-0.0037633052695439343,0.003323547840118408,0.06277431726455689,0.05945076942443848,0.015277703603108725,0.06227032681728931,-0.04699262321418059,50.0,0.828307290466887,1.0,0.924910085848509,0.7634847098217256,0.9330997410209229,0.16961503119919705,0.0427963954255185,0.09757398655339906,111.34,0.9,0.06,0.0,1.0,1.0,1.0,1.0,0.82,0.08,0.10000000000000005,0.78,0.08,0.13999999999999996,0.0,0.08,0.92
bbb,robust,2,0.08,0.25,0.1,50,1.0,0.86,0.14,0.14,50,0.003323547840118386,0.13086456060409543,0.0002019306770364093,0.004038471554049465,0.003836540877013056,0.012363811185683258,0.0024483805942062792,0.009915430591476978,0.003323547840118408,0.13934812664985657,0.13602457880973817,0.25881114176341463,0.11603606856146524,0.14277507320194938,50.0,0.5865014710557075,0.9954128440366973,0.8752479803589523,0.5395537098616777,0.8918202323822346,0.352266522520557,0.04483175700080489,0.2881377042020244,136.64,0.66,0.1,0.0,0.0,0.9954128440366973,1.0,1.0,0.58,0.12,0.30000000000000004,0.52,0.14,0.33999999999999997,0.0,0.14,0.86
bbb,robust,2,0.08,0.25,0.15,50,1.0,0.4,0.6,0.6,50,0.003323547840118386,0.3746368229389191,0.0002019306770364093,0.003666323135839775,0.0034643924588033657,0.004387628191302536,0.002079538860054612,0.0023080893312479238,0.003323547840118408,0.22536317706108094,0.22203962922096251,0.27886768579483034,0.13679754436016084,0.1420701414346695,,,,,,,,,,,,,,,,,,,,,,,,,,
bbb,robust,3,0.08,0.25,0.01,50,1.0,1.0,0.0,0.0,50,0.0034708034992217843,0.006811352968215931,0.00022140976833018706,0.0004993463854482736,0.00027793661711808656,,0.00027793661711808656,,0.0034708034992218017,0.006811352968215942,0.0033405494689941408,,0.0033405494689941408,,50.0,1.0,1.0,1.0,0.9249999999999998,1.0,0.07499999999999997,0.03848335099752875,0.0,94.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
bbb,robust,3,0.08,0.25,0.03,50,1.0,1.0,0.0,0.0,50,0.0034708034992217843,0.025235382318496702,0.00022140976833018706,0.0015296511782530611,0.001308241409922874,,0.001308241409922874,,0.0034708034992218017,0.025235382318496705,0.0217645788192749,,0.0217645788192749,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbb,robust,3,0.08,0.25,0.05,50,1.0,0.94,0.06,0.06,50,0.0034708034992217843,0.0381391572952271,0.00022140976833018706,0.0018084649679229402,0.0015870551995927533,0.011699885129928589,0.0009415554168053597,0.01075832971312323,0.0034708034992218017,0.04286242485046387,0.039391621351242065,0.29592978954315186,0.023016844658141442,0.2729129448850104,50.0,0.9173137336960312,1.0,0.9410168057622843,0.8468137336960312,0.9475108087607851,0.10069707506475378,0.04114437137314292,0.02486929967807324,107.26,0.94,0.06,0.04576271186440677,1.0,1.0,1.0,1.0,0.92,0.06,0.019999999999999962,0.88,0.06,0.06,0.0,0.06,0.94
bbb,robust,3,0.08,0.25,0.07,50,1.0,0.9,0.1,0.1,50,0.0034708034992217843,0.06628271102905273,0.00022140976833018706,0.001217998866434573,0.0009965890981043861,0.004043786879628896,0.0006580115668238849,0.0033857753128050116,0.0034708034992218017,0.056217384338378903,0.052746580839157106,0.28441656827926637,0.02700547112358941,0.25741109715567695,50.0,0.8723132129018174,1.0,0.9034246575342466,0.8063132129018173,0.9109246575342467,0.10461144463242915,0.04059575220667425,0.031604312871378486,105.36,0.88,0.1,0.0,1.0,1.0,1.0,1.0,0.88,0.1,0.01999999999999999,0.84,0.1,0.060000000000000026,0.0,0.1,0.9
