family,condition,seed,train_eps,rob_lam,eps,score,variant,target,score_constant,auroc,auprc,prevalence,n_used,neg_spearman_p_safe,neg_spearman_p_safe_optimistic,n_conclusive,n_inconclusive
bbb,robust,0,0.08,0.25,0.01,mutual_information,clean,adv_error,False,,,0.0,50,,,,
bbb,robust,0,0.08,0.25,0.01,mutual_information,clean,cert_fail_tau0.5,False,,,0.0,50,,,50.0,0.0
bbb,robust,0,0.08,0.25,0.01,mutual_information,clean,cert_fail_tau0.9,False,,,0.0,50,,,50.0,0.0
bbb,robust,0,0.08,0.25,0.01,mutual_information,clean,cert_fail_tau0.95,True,,,,0,,,0.0,50.0
bbb,robust,0,0.08,0.25,0.01,mutual_information,adv,adv_error,False,,,0.0,50,,,,
bbb,robust,0,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.5,False,,,0.0,50,,,50.0,0.0
bbb,robust,0,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.9,False,,,0.0,50,,,50.0,0.0
bbb,robust,0,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.95,True,,,,0,,,0.0,50.0
bbb,robust,0,0.08,0.25,0.01,mutual_information,delta,adv_error,False,,,0.0,50,,,,
bbb,robust,0,0.08,0.25,0.01,mutual_information,delta,cert_fail_tau0.5,False,,,0.0,50,,,50.0,0.0
bbb,robust,0,0.08,0.25,0.01,mutual_information,delta,cert_fail_tau0.9,False,,,0.0,50,,,50.0,0.0
bbb,robust,0,0.08,0.25,0.01,mutual_information,delta,cert_fail_tau0.95,True,,,,0,,,0.0,50.0
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,clean,adv_error,False,,,0.0,50,,,,
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,clean,cert_fail_tau0.5,False,,,0.0,50,,,50.0,0.0
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,clean,cert_fail_tau0.9,False,,,0.0,50,,,50.0,0.0
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,clean,cert_fail_tau0.95,True,,,,0,,,0.0,50.0
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,adv,adv_error,False,,,0.0,50,,,,
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,adv,cert_fail_tau0.5,False,,,0.0,50,,,50.0,0.0
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,adv,cert_fail_tau0.9,False,,,0.0,50,,,50.0,0.0
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,adv,cert_fail_tau0.95,True,,,,0,,,0.0,50.0
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,delta,adv_error,False,,,0.0,50,,,,
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,delta,cert_fail_tau0.5,False,,,0.0,50,,,50.0,0.0
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,delta,cert_fail_tau0.9,False,,,0.0,50,,,50.0,0.0
bbb,robust,0,0.08,0.25,0.01,one_minus_confidence,delta,cert_fail_tau0.95,True,,,,0,,,0.0,50.0
bbb,robust,0,0.08,0.25,0.03,mutual_information,clean,adv_error,False,,,0.0,50,,,,
