family,condition,train_eps,rob_lam,n_seeds_present,metric,mean,sd,se,ci_low,ci_high,n_valid
bbb,robust,0.08,0.25,5,pgd_accuracy_auc,0.8241833333333334,0.0023791630180941235,0.0010639940476024044,0.8212296858571891,0.8271369808094776,5
bbb,robust,0.08,0.25,5,nll_auc,0.7770629048844178,0.009907929280123007,0.00443096067732312,0.7647625580441688,0.7893632517246667,5
bbb,robust,0.08,0.25,5,brier_auc,0.2779908660302559,0.003377940039474836,0.0015106607104368112,0.27379727189808334,0.2821844601624285,5
bbb,robust,0.08,0.25,5,ece_auc,0.09538363115619619,0.003431440919125795,0.001534587031187927,0.09112361755761851,0.09964364475477387,5
bbb,robust,0.08,0.25,5,subset_accuracy_auc,0.8295714285714286,0.007619791630339821,0.0034076744119647577,0.8201117244038144,0.8390311327390428,5
bbb,robust,0.08,0.25,5,attack_success_auc,0.17042857142857143,0.00761979163033976,0.0034076744119647304,0.16096886726095733,0.17988827559618553,5
bbb,standard,,,5,pgd_accuracy_auc,0.5780166666666666,0.0032304892990244107,0.0014447187346408453,0.5740061274593037,0.5820272058740296,5
bbb,standard,,,5,nll_auc,2.126566027527054,0.049791406005644086,0.022267393704782288,2.0647517426025783,2.1883803124515295,5
bbb,standard,,,5,brier_auc,0.715255414272348,0.007954571793995177,0.003557392652655134,0.7053800922685773,0.7251307362761186,5
bbb,standard,,,5,ece_auc,0.3266415346819758,0.004181823526501161,0.0018701683350328977,0.3214499473839245,0.3318331219800271,5
bbb,standard,,,5,subset_accuracy_auc,0.5428571428571429,0.017320508075688763,0.0077459666924148286,0.5213543393189993,0.5643599463952865,5
bbb,standard,,,5,attack_success_auc,0.45714285714285713,0.01732050807568876,0.007745966692414827,0.4356400536047136,0.4786456606810007,5
deterministic,robust,0.08,0.25,5,pgd_accuracy_auc,0.877928,0.00325410817275639,0.0014552814160841833,0.8738881387889503,0.8819678612110498,5
deterministic,robust,0.08,0.25,5,nll_auc,0.5780296143392721,0.010281826747235623,0.0045981727079388805,0.5652650869020338,0.5907941417765105,5
deterministic,robust,0.08,0.25,5,brier_auc,0.19338084541261194,0.004832062201559559,0.0021609639108388927,0.18738200959612317,0.1993796812291007,5
deterministic,robust,0.08,0.25,5,ece_auc,0.06021641848680377,0.005028097502382335,0.0022486335625647625,0.05397421171712399,0.06645862525648355,5
deterministic,robust,0.08,0.25,5,subset_accuracy_auc,0.8848571428571429,0.006416655623278738,0.002869615632371508,0.8768910898616796,0.8928231958526062,5
deterministic,robust,0.08,0.25,5,attack_success_auc,0.11514285714285714,0.006416655623278781,0.0028696156323715274,0.10717680414739378,0.12310891013832051,5
deterministic,standard,,,5,pgd_accuracy_auc,0.3732566666666667,0.005543644509205502,0.002479193193135392,0.3663744263625228,0.38013890697081054,5
deterministic,standard,,,5,nll_auc,9.468135871440172,0.7142435845017338,0.3194194414877984,8.581427501870044,10.3548442410103,5
deterministic,standard,,,5,brier_auc,1.2092308316379785,0.014446019854269163,0.00646045647969149,1.191296604450355,1.227165058825602,5
deterministic,standard,,,5,ece_auc,0.596889869584918,0.007731260721603945,0.0034575249050560995,0.5872917804484822,0.6064879587213537,5
deterministic,standard,,,5,subset_accuracy_auc,0.30942857142857144,0.002106840171964694,0.0009422075684480803,0.3068130032185596,0.3120441396385833,5
deterministic,standard,,,5,attack_success_auc,0.6905714285714286,0.002106840171964637,0.0009422075684480549,0.6879558603614168,0.6931869967814405,5
mc_dropout,robust,0.08,0.25,5,pgd_accuracy_auc,0.8617946666666667,0.005211120907358715,0.002330484117564894,0.8553252427563066,0.8682640905770268,5
mc_dropout,robust,0.08,0.25,5,nll_auc,0.49374599968393634,0.009174855809151266,0.004103120254604214,0.482355737857155,0.5051362615107177,5
mc_dropout,robust,0.08,0.25,5,brier_auc,0.2078191518286864,0.005687883821210287,0.002543698974469492,0.20075784347555908,0.21488046018181373,5
mc_dropout,robust,0.08,0.25,5,ece_auc,0.04047543558119733,0.004222810814245886,0.0018884984073550073,0.03523296400237983,0.04571790716001483,5
mc_dropout,robust,0.08,0.25,5,subset_accuracy_auc,0.8727142857142859,0.012979575792571302,0.005804642758260028,0.8566005974173561,0.8888279740112157,5
mc_dropout,robust,0.08,0.25,5,attack_success_auc,0.12728571428571428,0.012979575792571266,0.005804642758260012,0.11117202598878449,0.14339940258264408,5
mc_dropout,standard,,,5,pgd_accuracy_auc,0.410086,0.011047618747947447,0.0049406453019823215,0.39637076864169707,0.42380123135830294,5
mc_dropout,standard,,,5,nll_auc,5.501370622143149,0.2377829742341094,0.10633977885590992,5.206171396039143,5.796569848247155,5
mc_dropout,standard,,,5,brier_auc,1.0678179099162421,0.021208349205055425,0.009484662102611511,1.0414884879193926,1.0941473319130917,5
mc_dropout,standard,,,5,ece_auc,0.5096145531587203,0.010628621434821545,0.004753264007074464,0.4964194922750816,0.522809614042359,5
mc_dropout,standard,,,5,subset_accuracy_auc,0.35785714285714293,0.026024909574623833,0.011638693383428805,0.3255481300247446,0.39016615568954127,5
mc_dropout,standard,,,5,attack_success_auc,0.6421428571428571,0.026024909574623868,0.01163869338342882,0.6098338443104587,0.6744518699752555,5
vogn,robust,0.08,0.25,5,pgd_accuracy_auc,0.684918,0.005890004055837138,0.002634089891320261,0.677605766461695,0.692230233538305,5
vogn,robust,0.08,0.25,5,nll_auc,1.2970612227916718,0.027131517279668324,0.012133583394009708,1.263378395289901,1.3307440502934427,5
vogn,robust,0.08,0.25,5,brier_auc,0.4850233886142572,0.0078037456305136595,0.0034899411417891,0.4753353120046507,0.4947114652238637,5
vogn,robust,0.08,0.25,5,ece_auc,0.16154917855055134,0.009081738847389517,0.00406147708333271,0.15027451816721973,0.17282383893388295,5
vogn,robust,0.08,0.25,5,subset_accuracy_auc,0.6700000000000002,0.01440131796689707,0.006440465187914183,0.6521212686383504,0.6878787313616499,5
vogn,robust,0.08,0.25,5,attack_success_auc,0.3018901582372079,0.015529848721482196,0.006945159484304477,0.28261039550877864,0.3211699209656371,5
vogn,standard,,,5,pgd_accuracy_auc,0.6930386666666666,0.012528000328153828,0.005602692071178326,0.6774855934770756,0.7085917398562576,5
vogn,standard,,,5,nll_auc,0.9039666739106178,0.04341921466117325,0.01941766310240778,0.8500632411383338,0.9578701066829018,5
vogn,standard,,,5,brier_auc,0.43305538552502787,0.01924373475389501,0.008606059810136886,0.40916496349208786,0.4569458075579679,5
vogn,standard,,,5,ece_auc,0.13816195688770214,0.01076472234648151,0.004814130185128739,0.12479793149378476,0.1515259822816195,5
vogn,standard,,,5,subset_accuracy_auc,0.699,0.009335033858688318,0.004174754056057849,0.6874108827403834,0.7105891172596165,5
vogn,standard,,,5,attack_success_auc,0.2924839650145773,0.008661478346684365,0.003873530873765746,0.28173104330900356,0.30323688672015103,5
