family,train_eps,rob_lam,eps,score,variant,target,metric,direction,mean,sd,se,ci_low,ci_high,n_valid
bbb,0.08,0.25,0.0,,,,accuracy,robust-standard,-0.011820000000000008,0.0009418067742376735,0.0004211887937730471,-0.012989220091513987,-0.010650779908486029,5
bbb,0.08,0.25,0.0,,,,brier,standard-robust,-0.020586952567100525,0.000615934540930391,0.0002754543006420962,-0.021351613705682983,-0.019822291428518067,5
bbb,0.08,0.25,0.0,,,,ece,standard-robust,-0.009312335774898508,0.0004418187838472914,0.00019758736688376593,-0.009860838305367842,-0.008763833244429173,5
bbb,0.08,0.25,0.0,,,,ece_adaptive,robust-standard,0.009354795690774922,0.000859700069974851,0.00038446955934501857,0.008287508194033151,0.010422083187516694,5
bbb,0.08,0.25,0.0,,,,mc_samples,robust-standard,0.0,0.0,0.0,0.0,0.0,5
bbb,0.08,0.25,0.0,,,,mean_confidence,robust-standard,-0.002313076398941627,0.0005734328456983136,0.00025644696470251537,-0.0030249731729558096,-0.0016011796249274443,5
bbb,0.08,0.25,0.0,,,,mean_mutual_information,robust-standard,-0.008411199436103075,0.0002511695119523018,0.00011232642052015855,-0.008723017579467035,-0.008099381292739115,5
bbb,0.08,0.25,0.0,,,,mean_predictive_entropy,robust-standard,0.007012160765405814,0.0015435541192573518,0.0006902983875218511,0.005095892441645156,0.008928429089166473,5
bbb,0.08,0.25,0.0,,,,n,robust-standard,0.0,0.0,0.0,0.0,0.0,5
bbb,0.08,0.25,0.0,,,,nll,standard-robust,-0.06899666562676429,0.0031807183761944882,0.0014224605012907248,-0.07294541597834735,-0.06504791527518124,5
bbb,0.08,0.25,0.01,mutual_information,adv,adv_error,auprc,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,adv,adv_error,auroc,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,adv,adv_error,neg_spearman_p_safe,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,adv,adv_error,neg_spearman_p_safe_optimistic,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,adv,adv_error,prevalence,robust-standard,0.0,0.0,0.0,0.0,0.0,5
bbb,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.5,auprc,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.5,auroc,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.5,neg_spearman_p_safe,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.5,neg_spearman_p_safe_optimistic,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.5,prevalence,robust-standard,-0.008336951801997394,0.011419969654095226,0.005107165689508337,-0.022514443756072536,0.005840540152077748,5
bbb,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.9,auprc,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.9,auroc,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.9,neg_spearman_p_safe,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.9,neg_spearman_p_safe_optimistic,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.9,prevalence,robust-standard,-0.030288220551378447,0.011068575500466403,0.004950017446626326,-0.044029468983213124,-0.016546972119543767,5
bbb,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.95,auprc,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.95,auroc,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.95,neg_spearman_p_safe,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.95,neg_spearman_p_safe_optimistic,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.95,prevalence,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,clean,adv_error,auprc,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,clean,adv_error,auroc,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,clean,adv_error,neg_spearman_p_safe,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,clean,adv_error,neg_spearman_p_safe_optimistic,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,clean,adv_error,prevalence,robust-standard,0.0,0.0,0.0,0.0,0.0,5
bbb,0.08,0.25,0.01,mutual_information,clean,cert_fail_tau0.5,auprc,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,clean,cert_fail_tau0.5,auroc,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,clean,cert_fail_tau0.5,neg_spearman_p_safe,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,clean,cert_fail_tau0.5,neg_spearman_p_safe_optimistic,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,clean,cert_fail_tau0.5,prevalence,robust-standard,-0.008336951801997394,0.011419969654095226,0.005107165689508337,-0.022514443756072536,0.005840540152077748,5
bbb,0.08,0.25,0.01,mutual_information,clean,cert_fail_tau0.9,auprc,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,clean,cert_fail_tau0.9,auroc,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,clean,cert_fail_tau0.9,neg_spearman_p_safe,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,clean,cert_fail_tau0.9,neg_spearman_p_safe_optimistic,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,clean,cert_fail_tau0.9,prevalence,robust-standard,-0.030288220551378447,0.011068575500466403,0.004950017446626326,-0.044029468983213124,-0.016546972119543767,5
bbb,0.08,0.25,0.01,mutual_information,clean,cert_fail_tau0.95,auprc,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,clean,cert_fail_tau0.95,auroc,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,clean,cert_fail_tau0.95,neg_spearman_p_safe,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,clean,cert_fail_tau0.95,neg_spearman_p_safe_optimistic,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,clean,cert_fail_tau0.95,prevalence,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,delta,adv_error,auprc,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,delta,adv_error,auroc,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,delta,adv_error,neg_spearman_p_safe,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,delta,adv_error,neg_spearman_p_safe_optimistic,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,delta,adv_error,prevalence,robust-standard,0.0,0.0,0.0,0.0,0.0,5
bbb,0.08,0.25,0.01,mutual_information,delta,cert_fail_tau0.5,auprc,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,delta,cert_fail_tau0.5,auroc,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,delta,cert_fail_tau0.5,neg_spearman_p_safe,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,delta,cert_fail_tau0.5,neg_spearman_p_safe_optimistic,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,delta,cert_fail_tau0.5,prevalence,robust-standard,-0.008336951801997394,0.011419969654095226,0.005107165689508337,-0.022514443756072536,0.005840540152077748,5
bbb,0.08,0.25,0.01,mutual_information,delta,cert_fail_tau0.9,auprc,robust-standard,,,,,,0
bbb,0.08,0.25,0.01,mutual_information,delta,cert_fail_tau0.9,auroc,robust-standard,,,,,,0
