family,condition,train_eps,rob_lam,eps,score,variant,coverage,n_seeds_present,metric,mean,sd,se,ci_low,ci_high,n_valid
bbb,robust,0.08,0.25,0.01,mutual_information,adv,0.1,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,adv,0.2,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,adv,0.3,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,adv,0.4,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,adv,0.5,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,adv,0.6,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,adv,0.7,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,adv,0.8,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,adv,0.9,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,adv,1.0,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,clean,0.1,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,clean,0.2,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,clean,0.3,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,clean,0.4,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,clean,0.5,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,clean,0.6,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,clean,0.7,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,clean,0.8,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,clean,0.9,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,clean,1.0,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,delta,0.1,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,delta,0.2,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,delta,0.3,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,delta,0.4,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,delta,0.5,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,delta,0.6,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,delta,0.7,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,delta,0.8,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,delta,0.9,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,delta,1.0,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,one_minus_confidence,adv,0.1,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,one_minus_confidence,adv,0.2,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,one_minus_confidence,adv,0.3,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,one_minus_confidence,adv,0.4,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,one_minus_confidence,adv,0.5,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,one_minus_confidence,adv,0.6,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,one_minus_confidence,adv,0.7,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,one_minus_confidence,adv,0.8,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,one_minus_confidence,adv,0.9,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,one_minus_confidence,adv,1.0,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,one_minus_confidence,clean,0.1,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,one_minus_confidence,clean,0.2,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,one_minus_confidence,clean,0.3,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,one_minus_confidence,clean,0.4,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,one_minus_confidence,clean,0.5,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,one_minus_confidence,clean,0.6,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,one_minus_confidence,clean,0.7,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,one_minus_confidence,clean,0.8,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,one_minus_confidence,clean,0.9,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,one_minus_confidence,clean,1.0,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,one_minus_confidence,delta,0.1,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,one_minus_confidence,delta,0.2,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,one_minus_confidence,delta,0.3,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,one_minus_confidence,delta,0.4,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,one_minus_confidence,delta,0.5,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,one_minus_confidence,delta,0.6,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,one_minus_confidence,delta,0.7,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,one_minus_confidence,delta,0.8,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,one_minus_confidence,delta,0.9,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,one_minus_confidence,delta,1.0,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,mutual_information,adv,0.1,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,mutual_information,adv,0.2,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,mutual_information,adv,0.3,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,mutual_information,adv,0.4,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,mutual_information,adv,0.5,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,mutual_information,adv,0.6,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,mutual_information,adv,0.7,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,mutual_information,adv,0.8,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,mutual_information,adv,0.9,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,mutual_information,adv,1.0,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,mutual_information,clean,0.1,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,mutual_information,clean,0.2,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,mutual_information,clean,0.3,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,mutual_information,clean,0.4,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,mutual_information,clean,0.5,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,mutual_information,clean,0.6,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,mutual_information,clean,0.7,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,mutual_information,clean,0.8,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,mutual_information,clean,0.9,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,mutual_information,clean,1.0,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,mutual_information,delta,0.1,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,mutual_information,delta,0.2,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,mutual_information,delta,0.3,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,mutual_information,delta,0.4,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,mutual_information,delta,0.5,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,mutual_information,delta,0.6,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,mutual_information,delta,0.7,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,mutual_information,delta,0.8,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,mutual_information,delta,0.9,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,mutual_information,delta,1.0,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,one_minus_confidence,adv,0.1,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,one_minus_confidence,adv,0.2,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,one_minus_confidence,adv,0.3,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,one_minus_confidence,adv,0.4,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,one_minus_confidence,adv,0.5,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,one_minus_confidence,adv,0.6,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,one_minus_confidence,adv,0.7,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,one_minus_confidence,adv,0.8,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,one_minus_confidence,adv,0.9,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,one_minus_confidence,adv,1.0,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,one_minus_confidence,clean,0.1,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,one_minus_confidence,clean,0.2,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,one_minus_confidence,clean,0.3,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,one_minus_confidence,clean,0.4,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,one_minus_confidence,clean,0.5,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,one_minus_confidence,clean,0.6,5,selective_risk,0.0,0.0,0.0,0.0,0.0,5
