family,condition,train_eps,rob_lam,eps,score,variant,target,n_seeds_present,metric,mean,sd,se,ci_low,ci_high,n_valid
bbb,robust,0.08,0.25,0.01,mutual_information,adv,adv_error,5,auroc,,,,,,0
bbb,robust,0.08,0.25,0.01,mutual_information,adv,adv_error,5,auprc,,,,,,0
bbb,robust,0.08,0.25,0.01,mutual_information,adv,adv_error,5,prevalence,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,adv,adv_error,5,neg_spearman_p_safe,,,,,,0
bbb,robust,0.08,0.25,0.01,mutual_information,adv,adv_error,5,neg_spearman_p_safe_optimistic,,,,,,0
bbb,robust,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.5,5,auroc,,,,,,0
bbb,robust,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.5,5,auprc,,,,,,0
bbb,robust,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.5,5,prevalence,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.5,5,neg_spearman_p_safe,,,,,,0
bbb,robust,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.5,5,neg_spearman_p_safe_optimistic,,,,,,0
bbb,robust,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.9,5,auroc,,,,,,0
bbb,robust,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.9,5,auprc,,,,,,0
bbb,robust,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.9,5,prevalence,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.9,5,neg_spearman_p_safe,,,,,,0
bbb,robust,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.9,5,neg_spearman_p_safe_optimistic,,,,,,0
bbb,robust,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.95,5,auroc,,,,,,0
bbb,robust,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.95,5,auprc,,,,,,0
bbb,robust,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.95,5,prevalence,,,,,,0
bbb,robust,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.95,5,neg_spearman_p_safe,,,,,,0
bbb,robust,0.08,0.25,0.01,mutual_information,adv,cert_fail_tau0.95,5,neg_spearman_p_safe_optimistic,,,,,,0
bbb,robust,0.08,0.25,0.01,mutual_information,clean,adv_error,5,auroc,,,,,,0
bbb,robust,0.08,0.25,0.01,mutual_information,clean,adv_error,5,auprc,,,,,,0
bbb,robust,0.08,0.25,0.01,mutual_information,clean,adv_error,5,prevalence,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,mutual_information,clean,adv_error,5,neg_spearman_p_safe,,,,,,0
bbb,robust,0.08,0.25,0.01,mutual_information,clean,adv_error,5,neg_spearman_p_safe_optimistic,,,,,,0
bbb,robust,0.08,0.25,0.01,mutual_information,clean,cert_fail_tau0.5,5,auroc,,,,,,0
