family,condition,train_eps,rob_lam,eps,n_seeds_present,metric,mean,sd,se,ci_low,ci_high,n_valid
bbb,robust,0.08,0.25,0.01,5,subset_accuracy_clean,1.0,0.0,0.0,1.0,1.0,5
bbb,robust,0.08,0.25,0.01,5,subset_accuracy_adv,1.0,0.0,0.0,1.0,1.0,5
bbb,robust,0.08,0.25,0.01,5,subset_misclassification_adv,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,5,attack_success_rate,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,5,subset_ece_clean,0.0027091457843780474,0.0008638929700091001,0.00038634468124490695,0.0016366529492421857,0.0037816386195139093,5
bbb,robust,0.08,0.25,0.01,5,subset_ece_adv,0.005229301452636696,0.0019983847930328206,0.000893704848484647,0.002748376793243316,0.007710226112030076,5
bbb,robust,0.08,0.25,0.01,5,mean_mutual_information_clean,0.00014632471587246784,6.850703276503291e-05,3.063727643988379e-05,6.127563647535044e-05,0.00023137379526958523,5
bbb,robust,0.08,0.25,0.01,5,mean_mutual_information_adv,0.00031763254476274147,0.00015087487485275445,6.747329525350651e-05,0.0001303266771390074,0.0005049384123864756,5
bbb,robust,0.08,0.25,0.01,5,mean_mutual_information_delta,0.00017130782889027363,9.249498985293807e-05,4.136501697786456e-05,5.6478541759721635e-05,0.00028613711602082565,5
bbb,robust,0.08,0.25,0.01,5,delta_mutual_information_attack_success,,,,,,0
bbb,robust,0.08,0.25,0.01,5,delta_mutual_information_attack_failed,0.00017130782889027363,9.249498985293807e-05,4.136501697786456e-05,5.6478541759721635e-05,0.00028613711602082565,5
bbb,robust,0.08,0.25,0.01,5,delta_mutual_information_success_gap,,,,,,0
bbb,robust,0.08,0.25,0.01,5,mean_one_minus_confidence_clean,0.0027091457843780517,0.0008638929700090977,0.00038634468124490586,0.001636652949242193,0.00378163861951391,5
bbb,robust,0.08,0.25,0.01,5,mean_one_minus_confidence_adv,0.005229301452636719,0.001998384793032825,0.0008937048484846489,0.002748376793243334,0.0077102261120301045,5
bbb,robust,0.08,0.25,0.01,5,mean_one_minus_confidence_delta,0.002520155668258667,0.0011426675306303571,0.0005110164548342603,0.0011015739896387607,0.003938737346878574,5
bbb,robust,0.08,0.25,0.01,5,delta_one_minus_confidence_attack_success,,,,,,0
bbb,robust,0.08,0.25,0.01,5,delta_one_minus_confidence_attack_failed,0.002520155668258667,0.0011426675306303571,0.0005110164548342603,0.0011015739896387607,0.003938737346878574,5
bbb,robust,0.08,0.25,0.01,5,delta_one_minus_confidence_success_gap,,,,,,0
bbb,robust,0.08,0.25,0.01,5,n_inputs_cert,50.0,0.0,0.0,50.0,50.0,5
bbb,robust,0.08,0.25,0.01,5,mean_p_safe_point,1.0,0.0,0.0,1.0,1.0,5
bbb,robust,0.08,0.25,0.01,5,median_p_safe_point,1.0,0.0,0.0,1.0,1.0,5
bbb,robust,0.08,0.25,0.01,5,mean_p_safe_optimistic,1.0,0.0,0.0,1.0,1.0,5
bbb,robust,0.08,0.25,0.01,5,mean_p_safe_lower,0.9249999999999998,0.0,0.0,0.9249999999999998,0.9249999999999998,5
bbb,robust,0.08,0.25,0.01,5,mean_p_safe_upper,1.0,0.0,0.0,1.0,1.0,5
bbb,robust,0.08,0.25,0.01,5,mean_interval_width,0.07499999999999997,0.0,0.0,0.07499999999999997,0.07499999999999997,5
bbb,robust,0.08,0.25,0.01,5,mean_ci_width,0.03848335099752875,0.0,0.0,0.03848335099752875,0.03848335099752875,5
bbb,robust,0.08,0.25,0.01,5,mean_unknown_frac,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,5,mean_property_evaluations,94.0,0.0,0.0,94.0,94.0,5
bbb,robust,0.08,0.25,0.01,5,mean_net_frac_safe,1.0,0.0,0.0,1.0,1.0,5
bbb,robust,0.08,0.25,0.01,5,mean_net_frac_unsafe,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,5,p_safe_q05,1.0,0.0,0.0,1.0,1.0,5
bbb,robust,0.08,0.25,0.01,5,p_safe_q25,1.0,0.0,0.0,1.0,1.0,5
bbb,robust,0.08,0.25,0.01,5,p_safe_q50,1.0,0.0,0.0,1.0,1.0,5
bbb,robust,0.08,0.25,0.01,5,p_safe_q75,1.0,0.0,0.0,1.0,1.0,5
bbb,robust,0.08,0.25,0.01,5,p_safe_q95,1.0,0.0,0.0,1.0,1.0,5
bbb,robust,0.08,0.25,0.01,5,frac_robust_tau0.5,1.0,0.0,0.0,1.0,1.0,5
bbb,robust,0.08,0.25,0.01,5,frac_below_tau0.5,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,5,frac_inconclusive_tau0.5,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,5,frac_robust_tau0.9,1.0,0.0,0.0,1.0,1.0,5
bbb,robust,0.08,0.25,0.01,5,frac_below_tau0.9,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,5,frac_inconclusive_tau0.9,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,5,frac_robust_tau0.95,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,5,frac_below_tau0.95,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.01,5,frac_inconclusive_tau0.95,1.0,0.0,0.0,1.0,1.0,5
bbb,robust,0.08,0.25,0.03,5,subset_accuracy_clean,1.0,0.0,0.0,1.0,1.0,5
bbb,robust,0.08,0.25,0.03,5,subset_accuracy_adv,1.0,0.0,0.0,1.0,1.0,5
bbb,robust,0.08,0.25,0.03,5,subset_misclassification_adv,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,5,attack_success_rate,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,5,subset_ece_clean,0.0027091457843780474,0.0008638929700091001,0.00038634468124490695,0.0016366529492421857,0.0037816386195139093,5
bbb,robust,0.08,0.25,0.03,5,subset_ece_adv,0.02052808094024659,0.008924860030341465,0.00399131874350287,0.009448180108282623,0.03160798177221055,5
bbb,robust,0.08,0.25,0.03,5,mean_mutual_information_clean,0.00014632471587246784,6.850703276503291e-05,3.063727643988379e-05,6.127563647535044e-05,0.00023137379526958523,5
bbb,robust,0.08,0.25,0.03,5,mean_mutual_information_adv,0.0011387765907773023,0.0005426261519900973,0.00024266979244379807,0.00046512524695331884,0.0018124279346012858,5
bbb,robust,0.08,0.25,0.03,5,mean_mutual_information_delta,0.0009924518749048344,0.00048756750551875094,0.00021804681719198618,0.00038715391037988085,0.0015977498394297881,5
bbb,robust,0.08,0.25,0.03,5,delta_mutual_information_attack_success,,,,,,0
bbb,robust,0.08,0.25,0.03,5,delta_mutual_information_attack_failed,0.0009924518749048344,0.00048756750551875094,0.00021804681719198618,0.00038715391037988085,0.0015977498394297881,5
bbb,robust,0.08,0.25,0.03,5,delta_mutual_information_success_gap,,,,,,0
